Location,Latitude,Longitude,Neighborhood,Community,Ward,Emergency,Day,Tow_Zone,Date,Time
3749 12TH AVE S,44.934379577600005,-93.2574386597,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
3749 ELLIOT AVE,44.9345664978,-93.2612380981,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
3749 GARFIELD AVE S,44.934143066400004,-93.286857605,King Field,Southwest,8,Xerxes,3,5,02/25/2018,00:00
3749 GIRARD AVE N,45.0181617737,-93.29689025879999,Folwell,Camden,4,Xerxes,3,1,02/25/2018,00:00
3749 RUSSELL AVE N,45.023525238000005,-93.31084442139999,Cleveland,Camden,4,Xerxes,3,1,02/25/2018,00:00
3750 16TH AVE S,44.9345703125,-93.25115203860001,Powderhorn Park,Powderhorn,9,Xerxes,2,6,02/24/2018,00:00
3750 6TH ST N,45.0235748291,-93.2865447998,McKinley,Camden,4,Xerxes,2,1,02/24/2018,00:00
3751 BRYANT AVE N,45.0235748291,-93.2905883789,McKinley,Camden,4,Xerxes,3,1,02/25/2018,00:00
3751 HARRIET AVE S,44.9344863892,-93.28567504879999,King Field,Southwest,8,Xerxes,3,5,02/25/2018,00:00
3751 LOGAN AVE N,45.023727416999996,-93.3032836914,Folwell,Camden,4,Xerxes,3,1,02/25/2018,00:00
3751 PILLSBURY AVE,44.9346046448,-93.280960083,King Field,Southwest,8,Xerxes,3,5,02/25/2018,00:00
3753 GIRARD AVE N,45.0235137939,-93.29689025879999,Folwell,Camden,4,Xerxes,3,1,02/25/2018,00:00
3753 GIRARD AVE N,45.0237197876,-93.2969589233,Folwell,Camden,4,Xerxes,3,1,02/25/2018,00:00
3754 ELLIOT AVE,44.934284210200005,-93.2612228394,Powderhorn Park,Powderhorn,9,Xerxes,2,6,02/24/2018,00:00
742 15TH ST E,44.968082428,-93.2630233765,Elliot Park,Central,7,Xerxes,1,3,02/23/2018,00:00
742 27TH ST E,44.953788757299996,-93.26285552979999,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
742 32ND ST E,44.9447822571,-93.2636032104,Central,Powderhorn,9,Xerxes,2,5,02/24/2018,00:00
742 POLK ST NE,44.9979743958,-93.2448272705,Beltrami,Northeast,3,Xerxes,2,2,02/24/2018,00:00
743 BUCHANAN ST NE,44.99817276,-93.2397384644,Beltrami,Northeast,3,Xerxes,3,2,02/25/2018,00:00
743 JACKSON ST NE,44.998027801499994,-93.24990081790001,St. Anthony East,Northeast,3,Xerxes,3,2,02/25/2018,00:00
744 27TH ST E,44.953788757299996,-93.2628326416,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
744 32ND ST E,44.944744110100004,-93.26351165770001,Central,Powderhorn,9,Xerxes,2,5,02/24/2018,00:00
745 BUCHANAN ST NE,44.998210907,-93.2396697998,Beltrami,Northeast,3,Xerxes,3,2,02/25/2018,00:00
745 JACKSON ST NE,44.9982719421,-93.24990081790001,St. Anthony East,Northeast,3,Xerxes,3,2,02/25/2018,00:00
745 QUINCY ST NE,44.9982185364,-93.2511901855,St. Anthony East,Northeast,3,Xerxes,3,2,02/25/2018,00:00
746 YALE AVE SE,44.9662399292,-93.2216796875,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
748 POLK ST NE,44.9983901978,-93.2448272705,Beltrami,Northeast,3,Xerxes,2,2,02/24/2018,00:00
749 BUCHANAN ST NE,44.998409271199996,-93.2396850586,Beltrami,Northeast,3,Xerxes,3,2,02/25/2018,00:00
749 SPRING ST NE,44.9955024719,-93.2443084717,Beltrami,Northeast,3,Xerxes,3,2,02/25/2018,00:00
756 POLK ST NE,44.9986000061,-93.2448501587,Beltrami,Northeast,3,Xerxes,2,2,02/24/2018,00:00
76 4TH AVE N,44.987255096400006,-93.2707977295,North Loop,Central,3,Xerxes,1,3,02/23/2018,00:00
78 4TH AVE N,44.9871635437,-93.2707824707,North Loop,Central,3,Xerxes,1,3,02/23/2018,00:00
798 WEEKS AVE SE,44.9847984314,-93.21418762209998,Como,University,2,Xerxes,2,4,02/24/2018,00:00
8 57TH ST W,44.8997077942,-93.2786102295,Windom,Southwest,11,Xerxes,2,5,02/24/2018,00:00
8 62ND ST W,44.8907928467,-93.27864074709998,Windom,Southwest,11,Xerxes,2,5,02/24/2018,00:00
8 UNIVERSITY AVE NE,44.9881858826,-93.2566680908,Nicollet Island - East Bank,University,3,Xerxes,1,2,02/23/2018,00:00
8 UNIVERSITY AVE SE,44.987670898400005,-93.2562255859,Nicollet Island - East Bank,University,3,Xerxes,1,4,02/23/2018,00:00
80 32ND ST E,44.945049285900005,-93.27694702149999,Lyndale,Powderhorn,8,Xerxes,2,5,02/24/2018,00:00
80 4TH AVE N,44.9870491028,-93.2707977295,North Loop,Central,3,Xerxes,1,3,02/23/2018,00:00
80 ST MARYS AVE SE,44.9690666199,-93.2190856934,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
80 ST MARYS AVE SE,44.9690322876,-93.21914672850001,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
800 32ND ST W,44.9447593689,-93.2895584106,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
800 39TH ST W,44.9322624207,-93.2893981934,East Harriet,Southwest,10,Xerxes,2,5,02/24/2018,00:00
800 3RD AVE NE,44.993362426800005,-93.2516708374,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
8009 21ST ST E,44.9617767334,-93.2620620728,Ventura Village,Phillips,6,Xerxes,3,3,02/25/2018,00:00
801 32ND ST E,44.944705963100006,-93.2624053955,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
801 5TH,44.989647,-93.245272,Marcy Holmes,Northeast,3,Xerxes,3,4,02/25/2018,00:00
801 UNIVERSITY AVE SE,44.9829063416,-93.2450561523,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
802 11TH AVE SE,44.985790252700006,-93.236579895,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
802 3RD AVE NE,44.9934196472,-93.2513885498,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
802 41ST ST E,44.9288215637,-93.2623062134,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
802 47TH AVE N,45.040599823,-93.2904815674,Lind - Bohanon,Camden,4,Xerxes,2,1,02/24/2018,00:00
802 5TH AVE N,44.98281860350001,-93.2895736694,Sumner - Glenwood,Near North,5,Xerxes,2,3,02/24/2018,00:00
803 UNIVERSITY AVE SE,44.982757568400004,-93.2444763184,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
803 WEEKS AVE SE,44.984951019300006,-93.2140808105,Como,University,2,Xerxes,3,4,02/25/2018,00:00
804 37TH ST E,44.935981750500005,-93.26201629639999,Powderhorn Park,Powderhorn,9,Xerxes,2,6,02/24/2018,00:00
804 3RD AVE NE,44.9935531616,-93.2513427734,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
804 40TH ST E,44.930583953900005,-93.2620925903,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
804 5TH AVE SE,44.989265441899995,-93.24510192870001,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
805 11TH AVE SE,44.9862213135,-93.23670959469999,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
805 17TH ST E,44.967166900600006,-93.26341247559999,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
805 28TH AVE S,44.96509552,-93.2313766479,Cedar Riverside,University,2,Xerxes,3,4,02/25/2018,00:00
805 UNIVERSITY AVE SE,44.9827957153,-93.24452209469999,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
806 13TH AVE SE,44.9852104187,-93.233757019,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
806 15TH ST E,44.9677772522,-93.26245880129999,Elliot Park,Central,6,Xerxes,2,3,02/24/2018,00:00
806 28TH AVE S,44.965156555200004,-93.23156738280001,Cedar Riverside,University,2,Xerxes,2,4,02/24/2018,00:00
806 39TH ST E,44.9323348999,-93.26229858399999,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
806 43RD ST W,44.9250297546,-93.28979492190001,East Harriet,Southwest,13,Xerxes,2,5,02/24/2018,00:00
806 47TH AVE N,45.040401458699996,-93.29127502440001,Lind - Bohanon,Camden,4,Xerxes,2,1,02/24/2018,00:00
806 4TH ST SE,44.983669281000005,-93.2437973022,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
806 5TH AVE N,44.982830047600004,-93.28977966309999,Sumner - Glenwood,Near North,5,Xerxes,2,3,02/24/2018,00:00
807 11TH AVE SE,44.9863014221,-93.2364807129,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
807 THORNTON ST SE,44.965839386000006,-93.2192306519,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
808 13TH AVE SE,44.9852828979,-93.2338409424,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
808 21ST ST E,44.9618415833,-93.26224517819999,Ventura Village,Phillips,6,Xerxes,2,3,02/24/2018,00:00
808 41ST ST E,44.9288101196,-93.262008667,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
808 4TH ST NE,44.9974212646,-93.26136779790001,St. Anthony West,Northeast,3,Xerxes,2,2,02/24/2018,00:00
808 4TH ST SE,44.983661651599995,-93.2437286377,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
808 5TH AVE N,44.9828109741,-93.28987884520001,Sumner - Glenwood,Near North,5,Xerxes,2,3,02/24/2018,00:00
808 7TH ST SE,44.986835479700005,-93.24156188959999,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
808 7TH ST SE,44.986938476599995,-93.2420425415,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
808 RUSSELL AVE N,44.986414,-93.310743,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
809 11TH AVE SE,44.9864387512,-93.2368087769,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
809 13TH AVE S,44.9679756165,-93.25561523440001,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
809 28TH AVE S,44.96503067020001,-93.2314224243,Cedar Riverside,University,2,Xerxes,3,4,02/25/2018,00:00
809 32ND ST E,44.944513,-93.26253,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
809 33RD ST W,44.9429168701,-93.2900161743,South Uptown,Calhoun Isle,10,Xerxes,3,5,02/25/2018,00:00
809 6TH AVE SE,44.988994,-93.24389599999999,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
809 QUEEN AVE N,44.986388,-93.30967,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
809 SHERIDAN AVE N,44.986437,-93.31211,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
809 THORNTON ST SE,44.9657173157,-93.2192230225,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
809 UNIVERSITY AVE SE,44.9827957153,-93.2444458008,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
809 WEEKS AVE SE,44.9850273132,-93.21424865719999,Como,University,2,Xerxes,3,4,02/25/2018,00:00
810 13TH AVE SE,44.985359191899995,-93.2336883545,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
810 15TH ST E,44.96796035770001,-93.26113891600001,Elliot Park,Central,6,Xerxes,2,3,02/24/2018,00:00
810 21ST ST E,44.9616622925,-93.2622299194,Ventura Village,Phillips,6,Xerxes,2,3,02/24/2018,00:00
810 32ND ST W,44.9447860718,-93.28971862790002,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
810 33RD ST W,44.942958831800006,-93.28986358639999,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
810 34TH ST W,44.941345214799995,-93.28985595700001,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
810 37TH ST W,44.935905456499995,-93.2899627686,East Harriet,Southwest,10,Xerxes,2,5,02/24/2018,00:00
810 3RD AVE NE,44.993671417200005,-93.2511672974,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
810 40TH ST E,44.930572509799994,-93.26182556149999,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
810 5TH AVE N,44.9828262329,-93.28993225100001,Sumner - Glenwood,Near North,5,Xerxes,2,3,02/24/2018,00:00
810 6TH AVE SE,44.988937,-93.243689,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
810 RUSSELL AVE N,44.986492,-93.31076800000001,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
810 WASHBURN AVE N,44.986496,-93.316932,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
811 11TH AVE SE,44.986476898199996,-93.2366943359,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
811 13TH AVE S,44.968044281000005,-93.2557067871,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
811 17TH ST E,44.966716766400005,-93.261390686,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
811 5TH AVE N,44.9828033447,-93.2900390625,Sumner - Glenwood,Near North,5,Xerxes,3,3,02/25/2018,00:00
811 LOGAN AVE N,44.9864044189,-93.30326080319999,Near - North,Near North,5,Xerxes,3,1,02/25/2018,00:00
811 QUEEN AVE N,44.986445,-93.309893,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
811 SHERIDAN AVE N,44.986464,-93.312365,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
812 32ND ST W,44.944763183599996,-93.28964233399999,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
812 3RD AVE NE,44.9936828613,-93.2511062622,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
812 48TH ST W,44.9141273499,-93.2915115356,Lynnhurst,Southwest,13,Xerxes,2,5,02/24/2018,00:00
812 4TH ST SE,44.9835624695,-93.243522644,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
812 4TH ST SE,44.983581543,-93.24359893799999,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
812 4TH ST SE,44.9836158752,-93.2436676025,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
812 7TH ST SE,44.9866294861,-93.2412109375,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
812 RUSSELL AVE N,44.986553,-93.310742,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
813 11TH AVE SE,44.9865226746,-93.23634338379999,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
813 12TH AVE SE,44.986133,-93.235376,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
813 28TH AVE S,44.9648666382,-93.2314147949,Cedar Riverside,University,2,Xerxes,3,4,02/25/2018,00:00
813 29TH AVE S,44.9649200439,-93.22987365719999,Cedar Riverside,University,2,Xerxes,3,4,02/25/2018,00:00
813 HUMBOLDT AVE N,44.9868850708,-93.29823303219999,Near - North,Near North,5,Xerxes,3,1,02/25/2018,00:00
813 SHERIDAN AVE N,44.986527,-93.31211,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
813 THORNTON ST SE,44.9656066895,-93.2192993164,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
814 12TH AVE SE,44.9858665466,-93.2351303101,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
814 13TH AVE SE,44.985232,-93.233047,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
814 13TH AVE SE,44.985232,-93.233047,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
814 31ST AVE N,45.0122642517,-93.29039001459999,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
814 32ND ST W,44.9447784424,-93.2901153564,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
815 33RD ST E,44.9431838989,-93.2616348267,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
815 33RD ST E,44.9431838989,-93.2616348267,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
815 5TH AVE N,44.98279953,-93.29019927979999,Sumner - Glenwood,Near North,5,Xerxes,3,3,02/25/2018,00:00
815 HUMBOLDT AVE N,44.9869003296,-93.29823303219999,Near - North,Near North,5,Xerxes,3,1,02/25/2018,00:00
815 QUEEN AVE N,44.986552,-93.309945,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
815 SUMMIT AVE,44.9654083252,-93.2898483276,Lowry Hill,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
815 UNIVERSITY AVE SE,44.9827232361,-93.244354248,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
816 12TH AVE SE,44.9861183167,-93.2352752686,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
816 12TH AVE SE,44.9861183167,-93.2352752686,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
816 13TH AVE SE,44.985274,-93.233805,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
816 31ST AVE N,45.012172699,-93.2905426025,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
816 33RD ST W,44.942958831800006,-93.28986358639999,South Uptown,Calhoun Isle,10,Xerxes,2,5,02/24/2018,00:00
816 6TH AVE SE,44.9892425537,-93.2432785034,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
816 SHERIDAN AVE N,44.986606,-93.311887,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
817 11TH AVE SE,44.9864120483,-93.23645019530001,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
817 11TH AVE SE,44.9839859009,-93.2385025024,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
817 11TH AVE SE,44.984062194799996,-93.2383575439,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
817 13TH AVE SE,44.9866065979,-93.2333145142,Como,University,2,Xerxes,3,4,02/25/2018,00:00
817 5TH AVE N,44.9828109741,-93.2902908325,Sumner - Glenwood,Near North,5,Xerxes,3,3,02/25/2018,00:00
817 LYNDALE PL,44.9865074158,-93.28945922850001,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
817 QUEEN AVE N,44.986663,-93.30991800000001,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
818 12TH AVE SE,44.985962,-93.23478399999999,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
818 13TH AVE S,44.9680786133,-93.2558288574,Elliot Park,Central,6,Xerxes,2,3,02/24/2018,00:00
818 15TH ST E,44.9679908752,-93.2614135742,Elliot Park,Central,6,Xerxes,2,3,02/24/2018,00:00
818 31ST AVE N,45.0121994019,-93.2905731201,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
818 SUMMER ST NE,44.99691009520001,-93.25039672850001,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
819 12TH AVE SE,44.986177000000005,-93.235201,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
819 13TH AVE SE,44.9866371155,-93.2333145142,Como,University,2,Xerxes,3,4,02/25/2018,00:00
819 13TH AVE SE,44.9866371155,-93.2333145142,Como,University,2,Xerxes,3,4,02/25/2018,00:00
819 15TH ST E,44.9677772522,-93.26253509520001,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
819 39TH ST E,44.932357788100006,-93.2617874146,Bancroft,Powderhorn,8,Xerxes,3,6,02/25/2018,00:00
819 5TH AVE N,44.982791900600006,-93.2904586792,Sumner - Glenwood,Near North,5,Xerxes,3,3,02/25/2018,00:00
819 LYNDALE PL,44.9864273071,-93.2894210815,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
819 THORNTON ST SE,44.9651603699,-93.21932983399999,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
819 UNIVERSITY AVE SE,44.982692718500005,-93.2442321777,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
820 11TH AVE SE,44.986526489300005,-93.2362670898,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
820 12TH AVE SE,44.985968,-93.23478,Marcy Holmes,University,3,Xerxes,2,4,02/24/2018,00:00
820 41ST ST E,44.928768158000004,-93.2616882324,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
820 50TH AVE N,45.045677185100004,-93.2898254395,Lind - Bohanon,Camden,4,Xerxes,2,1,02/24/2018,00:00
820 SUMMER ST NE,44.9968147278,-93.25003814700001,St. Anthony East,Northeast,3,Xerxes,2,2,02/24/2018,00:00
820 WEEKS AVE SE,44.9853515625,-93.2148895264,Como,University,2,Xerxes,2,4,02/24/2018,00:00
821 15TH ST E,44.9678153992,-93.26112365719999,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
821 LYNDALE PL,44.9866752625,-93.28956604,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
821 THORNTON ST SE,44.965133666999996,-93.2192382813,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
822 15TH ST E,44.9679985046,-93.261100769,Elliot Park,Central,6,Xerxes,2,3,02/24/2018,00:00
822 THOMAS AVE N,44.986789,-93.31309399999999,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
823 18 1/2 AVE NE,45.0068092346,-93.24982452389999,Logan Park,Northeast,1,Xerxes,3,2,02/25/2018,00:00
823 ALDRICH AVE N,44.9866523743,-93.2909698486,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
823 LYNDALE PL,44.986755371099996,-93.28958892819999,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
824 RUSSELL AVE N,44.987106323199995,-93.3110122681,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
824 THOMAS AVE N,44.986534000000006,-93.313387,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
825 LOGAN AVE N,44.986797332799995,-93.30325317379999,Near - North,Near North,5,Xerxes,3,1,02/25/2018,00:00
825 LYNDALE PL,44.9868392944,-93.2895965576,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
825 UNIVERSITY AVE SE,44.9826583862,-93.2441940308,Marcy Holmes,University,3,Xerxes,1,4,02/23/2018,00:00
826 20TH AVE NE,45.0089302063,-93.2496414185,Holland,Northeast,1,Xerxes,2,2,02/24/2018,00:00
826 20TH AVE SE,44.9843330383,-93.2242202759,Como,University,2,Xerxes,2,4,02/24/2018,00:00
826 40TH ST E,44.9305686951,-93.26148223879999,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
826 41ST ST E,44.928764343299996,-93.2616271973,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
826 ALDRICH AVE N,44.986804962200004,-93.2908706665,Sumner - Glenwood,Near North,5,Xerxes,2,1,02/24/2018,00:00
826 VINCENT AVE N,44.986903000000005,-93.315937,Willard - Hay,Near North,5,Xerxes,2,1,02/24/2018,00:00
827 13TH AVE S,44.9682388306,-93.25651550290002,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
827 15TH ST E,44.967964172399995,-93.26105499270001,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
827 33RD ST E,44.943176,-93.262266,Powderhorn Park,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
827 LYNDALE PL,44.986896514899996,-93.2895965576,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
827 MORGAN AVE N,44.987007141099994,-93.30456542969999,Near - North,Near North,5,Xerxes,3,1,02/25/2018,00:00
827 THORNTON ST SE,44.965007782,-93.21927642819999,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
827 THORNTON ST SE,44.9647407532,-93.2193145752,Prospect Park - East River Road,University,2,Xerxes,3,4,02/25/2018,00:00
828 20TH AVE NE,45.008918762200004,-93.2495880127,Holland,Northeast,1,Xerxes,2,2,02/24/2018,00:00
828 25TH AVE SE,44.9845199585,-93.2178497314,Como,University,2,Xerxes,2,4,02/24/2018,00:00
828 37TH ST E,44.935985565200006,-93.2613601685,Powderhorn Park,Powderhorn,9,Xerxes,2,6,02/24/2018,00:00
828 51ST AVE N,45.0476570129,-93.2910232544,Lind - Bohanon,Camden,4,Xerxes,2,1,02/24/2018,00:00
828 ALDRICH AVE N,44.987018585200005,-93.2908248901,Sumner - Glenwood,Near North,5,Xerxes,2,1,02/24/2018,00:00
828 WEEKS AVE SE,44.985370636000006,-93.2150650024,Como,University,2,Xerxes,2,4,02/24/2018,00:00
829 13TH AVE S,44.9682388306,-93.25651550290002,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
829 17TH ST E,44.9667243958,-93.2610702515,Elliot Park,Central,6,Xerxes,3,3,02/25/2018,00:00
829 18TH AVE SE,44.9843902588,-93.2269515991,Como,University,2,Xerxes,3,4,02/25/2018,00:00
829 23RD AVE SE,44.9845581055,-93.22038269040002,Como,University,2,Xerxes,3,4,02/25/2018,00:00
829 6TH AVE SE,44.989197,-93.24373100000001,Marcy Holmes,University,3,Xerxes,3,4,02/25/2018,00:00
829 LYNDALE PL,44.9870262146,-93.28964233399999,Sumner - Glenwood,Near North,5,Xerxes,3,1,02/25/2018,00:00
829 UPTON AVE N,44.986982,-93.31501,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
830 19TH AVE SE,44.9844512939,-93.2256317139,Como,University,2,Xerxes,2,4,02/24/2018,00:00
830 23RD AVE SE,44.984645843500005,-93.22035217290001,Como,University,2,Xerxes,2,4,02/24/2018,00:00
830 40TH ST E,44.930557251,-93.26128387450001,Bancroft,Powderhorn,8,Xerxes,2,6,02/24/2018,00:00
831 23RD AVE SE,44.9846954346,-93.2203674316,Como,University,2,Xerxes,3,4,02/25/2018,00:00
831 SHERIDAN AVE N,44.986956,-93.312362,Willard - Hay,Near North,5,Xerxes,3,1,02/25/2018,00:00
832 18 1/2 AVE NE,45.0070037842,-93.2497177124,Logan Park,Northeast,1,Xerxes,2,2,02/24/2018,00:00
833 18TH AVE SE,44.98453521729999,-93.2269515991,Como,University,2,Xerxes,3,4,02/25/2018,00:00
833 21ST AVE SE,44.984661102299995,-93.22290802,Como,University,2,Xerxes,3,4,02/25/2018,00:00
835 SUMMER ST NE,44.9970855713,-93.2495269775,St. Anthony East,Northeast,3,Xerxes,3,2,02/25/2018,00:00
835 WEEKS AVE SE,44.9856071472,-93.21509552,Como,University,2,Xerxes,3,4,02/25/2018,00:00
836 20TH AVE SE,44.9845504761,-93.22425842290001,Como,University,2,Xerxes,2,4,02/24/2018,00:00
836 21ST AVE SE,44.984703063999994,-93.22289276120001,Como,University,2,Xerxes,2,4,02/24/2018,00:00
837 23RD AVE SE,44.9848899841,-93.2203674316,Como,University,2,Xerxes,3,4,02/25/2018,00:00
838 20TH AVE SE,44.9846763611,-93.22420501709999,Como,University,2,Xerxes,2,4,02/24/2018,00:00
839 18TH AVE SE,44.9845924377,-93.22696685790001,Como,University,2,Xerxes,3,4,02/25/2018,00:00
839 SUMMER ST NE,44.9969940186,-93.24961853030001,St. Anthony East,Northeast,3,Xerxes,3,2,02/25/2018,00:00
840 18TH AVE SE,44.984790802,-93.2269287109,Como,University,2,Xerxes,2,4,02/24/2018,00:00
