Location,Latitude,Longitude,Emergency,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time
"3416 CHICAGO AVE S,Minneapolis,MN",44.94066,-93.26288100000001,Xerxes,1,9,Central,Powderhorn,5,02/23/2018,22:08
"4400 4TH AVE S,Minneapolis,MN",44.923093,-93.270583,Xerxes,1,8,Regina,Nokomis,5,02/23/2018,22:12
"3544 CHICAGO AVE S,Minneapolis,MN",44.938057,-93.262822,Xerxes,1,9,Central,Powderhorn,5,02/23/2018,22:20
"3516 Chicago Ave S,Minneapolis,MN",44.938856,-93.262901,Xerxes,1,9,Central,Powderhorn,5,02/23/2018,22:31
"4000 4TH AVE S,Minneapolis,MN",44.930296999999996,-93.27040600000001,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,22:32
"4300 4TH AVE S,Minneapolis,MN",44.924287,-93.270329,Xerxes,1,8,Regina,Nokomis,5,02/23/2018,22:33
"4000 4TH AVE S,Minneapolis,MN",44.930296999999996,-93.27040600000001,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,22:34
"3838 Chicago Avenue,Minneapolis,MN",44.932983,-93.26249200000001,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,22:38
"4000 4TH AVE S,Minneapolis,MN",44.930296999999996,-93.27040600000001,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,22:53
"4000 4TH AVE S,Minneapolis,MN",44.930296999999996,-93.27040600000001,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,22:56
"3400 block of 4 AV s,Minneapolis,MN",44.940512,-93.27024499999999,Xerxes,1,9,Central,Powderhorn,5,02/23/2018,23:12
"3824 CHICAGO AVE S,Minneapolis,MN",44.933375,-93.26280200000001,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,23:14
"3700 4TH AVE S,Minneapolis,MN",44.935838000000004,-93.27032700000001,Xerxes,1,8,Central,Powderhorn,5,02/23/2018,23:22
"3400 4th ave s,Minneapolis,MN",44.940512,-93.27024499999999,Xerxes,1,9,Central,Powderhorn,5,02/23/2018,23:32
"4204 Chicago,Minneapolis,MN",44.926686,-93.262822,Xerxes,1,8,Regina,Nokomis,5,02/23/2018,23:37
"4004 Chicago,Minneapolis,MN",44.930293,-93.262861,Xerxes,1,8,Bryant,Powderhorn,5,02/23/2018,23:40
"4748 Chicago Avenue South,Minneapolis,MN",44.916455,-93.263038,Xerxes,1,8,Field,Nokomis,5,02/23/2018,23:54
"5528 chicago,Minneapolis,MN",44.902289,-93.263058,Xerxes,1,11,Diamond Lake,Nokomis,5,02/24/2018,01:02
"43rd in Upton Ave., South,MN",44.924690000000005,-93.314674,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,01:02
"4000 SHERIDAN AVE S,Minneapolis,MN",44.930275,-93.313497,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,01:03
"5536 CHICAGO AVE S,Minneapolis,MN",44.902015999999996,-93.263038,Xerxes,1,11,Diamond Lake,Nokomis,5,02/24/2018,01:06
"5536 CHICAGO AVE S,Minneapolis,MN",44.902015999999996,-93.263038,Xerxes,1,11,Diamond Lake,Nokomis,5,02/24/2018,01:06
"3120 2nd Avenue South,Minneapolis,MN",44.946453999999996,-93.27411,Xerxes,2,9,Central,Powderhorn,5,02/24/2018,13:15
"3138 Holmes ave s,Minneapolis,MN",44.945246000000004,-93.2996,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,13:19
"3438 Girard ave s ,Minneapolis,MN",44.940036,-93.297392,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,13:22
"3508 HUMBOLDT AVE S,Minneapolis,MN",44.939126,-93.30116600000001,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,13:35
"1302 r33rd st,Minneapolis,MN",44.942909,-93.29585300000001,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,13:36
"3246 girard ave s,Minneapolis,MN",44.94324,-93.29746999999999,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,13:46
"3114 humboldt ave s,Minneapolis,MN",44.945984,-93.300855,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,13:52
"34TH & HENNEPIN AVE S,Minneapolis,MN",44.941326000000004,-93.298366,Xerxes,1,10,ECCO,Calhoun Isle,5,02/24/2018,02:01
"3534 FREMONT AVE S,Minneapolis,MN",44.93841,-93.295849,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,14:06
"3244 girard,Minneapolis,MN",44.943312,-93.297062,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,14:22
"2500 43rd st w ,Minneapolis,MN",44.924928,-93.312275,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,02:37
"4000 Sheridan ave s ,Minneapolis,MN",44.930275,-93.313497,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,02:39
"3000 block of Dupont Avenue South,Minneapolis,MN",44.948328000000004,-93.29317900000001,Xerxes,1,10,South Uptown,Calhoun Isle,5,02/24/2018,02:39
"3000 block of Dupont Avenue South,Minneapolis,MN",44.948328000000004,-93.29317900000001,Xerxes,1,10,South Uptown,Calhoun Isle,5,02/24/2018,02:43
"3148 EMERSON AVE S,Minneapolis,MN",44.944976000000004,-93.294498,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,15:04
"3508 Girard ave s ,Minneapolis,MN",44.93918,-93.297372,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,15:06
"3108 Emerson ave s ,Minneapolis,MN",44.946158000000004,-93.294841,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,15:11
"500 W 61ST ,Minneapolis,MN",44.89258,-93.285976,Xerxes,1,11,Windom,Southwest,5,02/24/2018,03:39
"3200 HENNEPIN AVE ,Minneapolis,MN",44.944595,-93.298518,Xerxes,1,10,ECCO,Calhoun Isle,5,02/24/2018,03:41
"200 61st st w ,Minneapolis,MN",44.892309999999995,-93.281954,Xerxes,1,11,Windom,Southwest,5,02/24/2018,04:11
"200 61 ave west,Minneapolis,MN",44.892309999999995,-93.281954,Xerxes,1,11,Windom,Southwest,5,02/24/2018,04:12
"4400 XERXES AVE S,Minneapolis,MN",44.923321,-93.318896,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,04:13
"4400 XERXES AVE S,Minneapolis,MN",44.923321,-93.318896,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,04:17
"500 61st st w,Minneapolis,MN",44.89258,-93.285976,Xerxes,1,11,Windom,Southwest,5,02/24/2018,05:18
"500 61ST ST E,Minneapolis,MN",44.892505,-93.269085,Xerxes,1,11,Diamond Lake,Nokomis,5,02/24/2018,05:41
"3030 KNOX AVE S ,Minneapolis,MN",44.947281,-93.30464599999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,08:39
"3026 KNOX AVE S,Minneapolis,MN",44.947396999999995,-93.30464599999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,08:53
"3006 KNOX AVE S,Minneapolis,MN",44.948087,-93.30464599999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,08:54
"3044 JAMES AVE S,Minneapolis,MN",44.946832,-93.303664,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:09
"3126 James Ave s,Minneapolis,MN",44.94562,-93.303402,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:11
"3024 knox ave s,Minneapolis,MN",44.947469,-93.30494200000001,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:16
"3148 james,Minneapolis,MN",44.945116999999996,-93.30340600000001,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:18
"3128 James ave s,Minneapolis,MN",44.945557,-93.303664,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:29
"3006 James Ave South,Minneapolis,MN",44.948004,-93.303395,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:30
"3124 James ave s,Minneapolis,MN",44.945684,-93.30368299999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:34
"3008 James Ave South,Minneapolis,MN",44.947943,-93.30368299999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:34
"3042 JAMES AVE S,Minneapolis,MN",44.946886,-93.30339599999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,09:47
"3028 James ave s,Minneapolis,MN",44.947303999999995,-93.303742,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,10:01
"3040 James ave s,Minneapolis,MN",44.946940000000005,-93.303703,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,10:08
"3024 JAMES AVE S,Minneapolis,MN",44.947433000000004,-93.30368299999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,10:24
"3022 James Avenue South,Minneapolis,MN",44.947506,-93.303395,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,10:34
"3240 Humboldt Avenue South,Minneapolis,MN",44.943444,-93.301147,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,10:37
"3126 humboldt ave s,Minneapolis,MN",44.945613,-93.300854,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,11:02
"3102 James ave s,Minneapolis,MN",44.946376,-93.303397,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,11:06
"3020 James ave s ,Minneapolis,MN",44.947579,-93.30368299999999,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,11:06
"3014 James Ave South,Minneapolis,MN",44.947761,-93.303395,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,11:42
"3450 Holmes Avenue South,Minneapolis,MN",44.939725,-93.299648,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,11:45
"3018 JAMES AVE S,Minneapolis,MN",44.947642,-93.303395,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,11:55
"4614 Chicago Ave S,Minneapolis,MN",44.919215,-93.262899,Xerxes,1,8,Field,Nokomis,5,02/24/2018,00:02
"4252 Chicago Ave South,Minneapolis,MN",44.925373,-93.262861,Xerxes,1,8,Regina,Nokomis,5,02/24/2018,00:05
"828 37th st s,Minneapolis,MN",44.935881,-93.29015600000001,Xerxes,2,10,East Harriet,Southwest,5,02/24/2018,12:11
"3428 garard,Minneapolis,MN",44.940345,-93.297411,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/24/2018,12:16
"3420 humboldt ave s,Minneapolis,MN",44.940601,-93.301186,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,12:27
"3308 Humboldt ave s,Minneapolis,MN",44.942775,-93.300873,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,12:27
"3236 holmes ave s,Minneapolis,MN",44.943554,-93.299849,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,12:33
"4216 CHICAGO AVE S,Minneapolis,MN",44.926358,-93.262822,Xerxes,1,8,Regina,Nokomis,5,02/24/2018,00:34
"3116 Humboldt Ave South,Minneapolis,MN",44.945917,-93.301128,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,12:36
"5550 Chicago ave s,Minneapolis,MN",44.901768,-93.26270799999999,Xerxes,1,11,Diamond Lake,Nokomis,5,02/24/2018,00:37
"3120 Holmes Avenue South,Minneapolis,MN",44.945813,-93.299849,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,12:39
"4200 SHERIDAN AVE S,Minneapolis,MN",44.927281,-93.313119,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,00:49
"2500 W 43RD ST,Minneapolis,MN",44.924928,-93.312275,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,00:53
"43rd in Upton Avenue s,Minneapolis,MN",44.924571,-93.314576,Xerxes,1,13,Linden Hills,Southwest,5,02/24/2018,00:57
"1528 33rd st W,Minneapolis,MN",44.94331,-93.301535,Xerxes,2,10,ECCO,Calhoun Isle,5,02/24/2018,12:59
"3101 emerson,Minneapolis,MN",44.946393,-93.294246,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,13:04
"1539 33rd st,Minneapolis,MN",44.942944,-93.301647,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,13:25
"3103 FREMONT AVE S,Minneapolis,MN",44.946482,-93.29576800000001,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,13:33
"1205 33rd ST W,Minneapolis,MN",44.942916,-93.294597,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,13:48
"1213 34th st w,Minneapolis,MN",44.941309999999994,-93.29516,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,14:32
"3345 girard ave s,Minneapolis,MN",44.9416,-93.29686099999999,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,15:03
"3243 girard ave s ,Minneapolis,MN",44.943342,-93.297062,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,15:14
"3041 james ave s,Minneapolis,MN",44.94696,-93.303034,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,08:38
"3021 KNOX AVE S,Minneapolis,MN",44.947579,-93.304293,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,08:38
"3141 james AVE S,Minneapolis,MN",44.945174,-93.303074,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,09:11
"3009 JAMES AVE S,Minneapolis,MN",44.947961,-93.303054,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,09:22
"3137 jaames,Minneapolis,MN",44.945319,-93.303074,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,09:43
"3135 James ave s,Minneapolis,MN",44.945427,-93.303049,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,10:09
"1433 32ND st w,Minneapolis,MN",44.944635,-93.29881400000001,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,10:12
"3319 humboldt ave s,Minneapolis,MN",44.942275,-93.300616,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,10:13
"3113 holes,Minneapolis,MN",44.946019,-93.299222,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,10:47
"3147 girard ave s,Minneapolis,MN",44.945067,-93.29704699999999,Xerxes,3,10,South Uptown,Calhoun Isle,5,02/25/2018,11:22
"3029 james ave s,Minneapolis,MN",44.947342,-93.303395,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,11:32
"3339 holmes,Minneapolis,MN",44.94173,-93.299279,Xerxes,3,10,ECCO,Calhoun Isle,5,02/25/2018,11:58
"1509 34th st w,Minneapolis,MN",44.941328999999996,-93.301326,Xerxes,2,10,ECCO,Calhoun Isle,5,02/25/2018,12:20
"1313 32nd west,Minneapolis,MN",44.944734000000004,-93.29595400000001,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/25/2018,12:35
"3221 holmes ave s,Minneapolis,MN",44.944007,-93.299368,Xerxes,2,10,ECCO,Calhoun Isle,5,02/25/2018,12:46
"3211 girard ave s,Minneapolis,MN",44.944303000000005,-93.297055,Xerxes,2,10,South Uptown,Calhoun Isle,5,02/25/2018,12:50
"1516 como ave se,Minneapolis,MN",44.987844,-93.22950300000001,Xerxes,1,1,Como,University,4,02/23/2018,21:37
"1413 comp Ave se,Minneapolis,MN",44.988021999999994,-93.231378,Xerxes,1,1,Como,University,4,02/23/2018,21:46
"1520 COMO AVE SE,Minneapolis,MN",44.987947999999996,-93.22974599999999,Xerxes,1,1,Como,University,4,02/23/2018,21:59
"1812 COMO AVE SE,Minneapolis,MN",44.987631,-93.2262,Xerxes,2,2,Como,University,4,02/23/2018,22:00
"2018 comp ave se,Minneapolis,MN",44.987674,-93.223366,Xerxes,2,2,Como,University,4,02/23/2018,22:03
"1706 COMO AVE SE,Minneapolis,MN",44.987631,-93.228135,Xerxes,2,2,Como,University,4,02/23/2018,22:04
"2104 COMO AVE SE,Minneapolis,MN",44.987882,-93.222441,Xerxes,1,1,Como,University,4,02/23/2018,22:06
"2110 COMO AVE SE,Minneapolis,MN",44.987884,-93.222307,Xerxes,1,1,Como,University,4,02/23/2018,22:08
"2012 como Ave se ,Minneapolis,MN",44.987615000000005,-93.223537,Xerxes,2,2,Como,University,4,02/23/2018,22:13
"1229 COME AVE SE,Minneapolis,MN",44.988,-93.233813,Xerxes,2,2,Como,University,4,02/23/2018,22:16
"2510 COMO AVE SE,Minneapolis,MN",44.987939000000004,-93.217229,Xerxes,1,1,Como,University,4,02/23/2018,22:17
"1213 COMO AVE SE,Minneapolis,MN",44.988001000000004,-93.234103,Xerxes,2,2,Como,University,4,02/23/2018,22:32
"513 UNIVERSITY AVE SE,Minneapolis,MN",44.984502,-93.248209,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,22:38
"509 UNIVERSITY AVE SE,Minneapolis,MN",44.984566,-93.24837,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,22:45
"625 UNIVERSITY AVE SE,Minneapolis,MN",44.983318,-93.246668,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,22:55
"623 UNIVERSITY AVE SE,Minneapolis,MN",44.983740999999995,-93.246464,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:02
"623 UNIVERSITY AVE SE,Minneapolis,MN",44.983740999999995,-93.246464,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:04
"701 university Ave se,Minneapolis,MN",44.983484999999995,-93.245863,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:08
"621 university se,Minneapolis,MN",44.983546999999994,-93.246718,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:10
"617 UNIVERYSITY AVE SE,Minneapolis,MN",44.983826,-93.246691,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:14
"619 UNIVERSITY AVE SE,Minneapolis,MN",44.983576,-93.246792,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:17
"705 university ave se,Minneapolis,MN",44.983218,-93.24589300000001,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:18
"721 UNIVERSITY AVE SE,Minneapolis,MN",44.982981,-93.245296,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:21
"725 UNIVERSITY AVE SE,Minneapolis,MN",44.982945,-93.245205,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:23
"39 4TH AVE S,Minneapolis,MN",44.988054,-93.254136,Xerxes,1,3,Nicollet Island - East Bank,University,4,02/23/2018,23:27
"809 university ave se,Minneapolis,MN",44.982624,-93.244403,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:30
"805 UNIVERSITY AVE SE,Minneapolis,MN",44.982671999999994,-93.24452099999999,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:30
"3000 TH AVE S,Minneapolis,MN",44.948377,-93.227082,Xerxes,2,2,Longfellow,Longfellow,4,02/23/2018,23:34
"803 university Ave se ,Minneapolis,MN",44.982695,-93.24458,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:40
"511 UNIVERSITY AVE SE,Minneapolis,MN",44.98455,-93.248316,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:43
"2006 COMO AVE SE,Minneapolis,MN",44.987866,-93.223781,Xerxes,1,1,Como,University,4,02/23/2018,23:44
"711 univ ave se,Minneapolis,MN",44.984026,-93.244219,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:49
"806 4TH ST SE,Minneapolis,MN",44.983419,-93.24379300000001,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:51
"812 4TH ST SE,Minneapolis,MN",44.983305,-93.24356800000001,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:55
"808 4TH ST SE,Minneapolis,MN",44.983399,-93.243713,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:55
"812 4TH ST SE,Minneapolis,MN",44.983305,-93.24356800000001,Xerxes,1,3,Marcy Holmes,University,4,02/23/2018,23:56
"600 MAIN ST SE,Minneapolis,MN",44.980705,-93.249633,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:01
"804 6TH ST AVE,Minneapolis,MN",44.985661,-93.242266,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:02
"650 MAIN ST SE,Minneapolis,MN",44.981574,-93.24833000000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:09
"600 MAIN ST SE,Minneapolis,MN",44.980705,-93.249633,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:10
"300 3RD AVE SE,Minneapolis,MN",44.985696000000004,-93.252048,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:10
"720 5th st se,Minneapolis,MN",44.984829,-93.244371,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:16
"424 6th st se ,Minneapolis,MN",44.987372,-93.247393,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:17
"516 12th ave se,Minneapolis,MN",44.98302,-93.237154,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:20
"1018 6th St SE,Minneapolis,MN",44.984235999999996,-93.23944300000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:22
"1018 5th st se,Minneapolis,MN",44.983359,-93.23971999999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:23
"504 12th ave se,Minneapolis,MN",44.982778,-93.237616,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:25
"1008 6th St SE ,Minneapolis,MN",44.984248,-93.239448,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:26
"608 12th ave se,Minneapolis,MN",44.984053,-93.236584,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:27
"317 11TH AVE SE,Minneapolis,MN",44.981338,-93.240581,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:29
"799 MAIN ST SE,Minneapolis,MN",44.981425,-93.24796500000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:31
"300 18TH AVE SE,Minneapolis,MN",44.977307,-93.231025,Xerxes,2,2,University of Minnesota,University,4,02/24/2018,01:33
"1059 18TH AVE SE,Minneapolis,MN",44.989656,-93.22694,Xerxes,1,1,Como,University,4,02/24/2018,01:36
"1816 talmage Ave s e,Minneapolis,MN",44.989641,-93.226709,Xerxes,2,1,Como,University,4,02/24/2018,13:38
"317 11TH AVE SE,Minneapolis,MN",44.981338,-93.240581,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:40
"309 11TH AVE SE,Minneapolis,MN",44.981266999999995,-93.240655,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,01:44
"324 12th ave se,Minneapolis,MN",44.980866,-93.239142,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:45
"328 12th ave sE,Minneapolis,MN",44.980905,-93.239111,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:48
"1112 6th st se ,Minneapolis,MN",44.983621,-93.237813,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:48
"1016 6th st se,Minneapolis,MN",44.984256,-93.23944300000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:49
"518 5th st se,Minneapolis,MN",44.985906,-93.24686,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:50
"1202 6th st se,Minneapolis,MN",44.983546999999994,-93.236938,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:51
"504 11TH AVE SE,Minneapolis,MN",44.983165,-93.238633,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:52
"131 27TH AVE SE,Minneapolis,MN",44.970048,-93.220928,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,01:55
"606 12th ave se,Minneapolis,MN",44.984002000000004,-93.236625,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:55
"716 11TH AVE SE,Minneapolis,MN",44.985541,-93.23696600000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:55
"139 27TH AVE SE,Minneapolis,MN",44.97034,-93.220205,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,01:57
"720 11th ave se,Minneapolis,MN",44.985654,-93.236847,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:57
"712 12th ave se,Minneapolis,MN",44.985098,-93.235763,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,13:58
"428 7th ave se,Minneapolis,MN",44.984772,-93.244776,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:00
"200 11TH AVE SE,Minneapolis,MN",44.980472,-93.241711,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:02
"317 11TH AVE SE,Minneapolis,MN",44.981338,-93.240581,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:05
"317 11th Ave se,Minneapolis,MN",44.981338,-93.240581,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:08
"1226 6th St SE ,Minneapolis,MN",44.983411,-93.23660500000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:08
"308 7th st se,Minneapolis,MN",44.989368,-93.248948,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:10
"1012 13th Ave s e,Minneapolis,MN",44.988239,-93.23309,Xerxes,2,2,Como,University,4,02/24/2018,14:15
"320 11TH AV SE,Minneapolis,MN",44.981721,-93.240266,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:18
"710 5th st se,Minneapolis,MN",44.98487,-93.244474,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:18
"317 11TH AVE SE,Minneapolis,MN",44.981338,-93.240581,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:20
"317 11TH AVE SE,Minneapolis,MN",44.981338,-93.240581,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:20
"708 5th st se,Minneapolis,MN",44.984879,-93.24449399999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:25
"1316 7TH ST SE,Minneapolis,MN",44.983431,-93.234243,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:26
"310 12th Ave se ,Minneapolis,MN",44.980729,-93.239249,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:29
"622 13th ave se,Minneapolis,MN",44.983415,-93.234978,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:29
"1214 7TH ST SE,Minneapolis,MN",44.984359999999995,-93.235772,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:31
"710 13TH AVE SE,Minneapolis,MN",44.984378,-93.23427099999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:31
"1216 6th st se,Minneapolis,MN",44.983468,-93.23674399999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:34
"622 6TH ST SE,Minneapolis,MN",44.986314,-93.244429,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:35
"1224 7TH ST SE,Minneapolis,MN",44.984316,-93.235659,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:38
"3018 30th Avenue 30th Avenue South,Minneapolis,MN",44.948714,-93.228768,Xerxes,2,2,Longfellow,Longfellow,4,02/24/2018,14:41
"224 11th Ave se,Minneapolis,MN",44.980619,-93.241514,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:44
"230 11TH AVE SE,Minneapolis,MN",44.980656,-93.24146400000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:45
"238 11TH AVE SE,Minneapolis,MN",44.980713,-93.241389,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:45
"331 11 TH AVE SE,Minneapolis,MN",44.981469,-93.240468,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:46
"246 11 TH AVE SE,Minneapolis,MN",44.980777,-93.24130600000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,02:48
