Location,Latitude,Longitude,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time,Emergency
"121 grant st w,Minneapolis,MN",44.969615999999995,-93.28041,1,7,Loring Park,Central,3,01/23/2018,04:07,Pembina
"4343 34th Avenue South,Minneapolis,MN",44.923491,-93.222911,1,12,Ericsson,Nokomis,6,01/23/2018,04:11,Pembina
"5705 34th Avenue South,Minneapolis,MN",44.899827,-93.222593,1,12,Morris Park,Nokomis,6,01/23/2018,04:15,Pembina
"2600 Essex Southeast,Minneapolis,MN",44.970683,-93.22093000000001,1,2,Prospect Park - East River Road,University,4,01/23/2018,04:21,Pembina
"500 7 St S,Minneapolis,MN",44.974121000000004,-93.264832,1,7,Elliot Park,Central,3,01/23/2018,04:32,Pembina
"2715 43rd st w,Minneapolis,MN",44.924177,-93.313193,1,13,Linden Hills,Southwest,5,01/23/2018,04:39,Pembina
"26 14th st e,Minneapolis,MN",44.968916,-93.277625,1,7,Loring Park,Central,3,01/23/2018,04:41,Pembina
"2719 43rd st W,Minneapolis,MN",44.924181,-93.313572,1,13,Linden Hills,Southwest,5,01/23/2018,04:42,Pembina
"Como Ave & 13 Ave SE,Minneapolis,MN",44.987845,-93.233306,1,2,Como,University,4,01/23/2018,04:49,Pembina
"27 Ave & Essex St SE,Minneapolis,MN",44.970383,-93.22017199999999,1,2,Prospect Park - East River Road,University,4,01/23/2018,04:49,Pembina
"2600 Essex Southeast,Minneapolis,MN",44.970683,-93.22093000000001,1,2,Prospect Park - East River Road,University,4,01/23/2018,04:52,Pembina
"3700 block of Grand Avenue South,Minneapolis,MN",44.935733,-93.28435400000001,1,8,King Field,Southwest,5,01/23/2018,04:53,Pembina
"900 Cedar Ave S,Minneapolis,MN",44.963440000000006,-93.24469599999999,1,6,Seward,Longfellow,4,01/23/2018,04:55,Pembina
"900 19 Ave S,Minneapolis,MN",44.963219,-93.245593,1,6,Seward,Longfellow,4,01/23/2018,04:55,Pembina
"3600 block of Grand Avenue South,Minneapolis,MN",44.937557,-93.284705,1,8,King Field,Southwest,5,01/23/2018,04:56,Pembina
"2706 43RD ST W,Minneapolis,MN",44.924602,-93.31299399999999,1,13,Linden Hills,Southwest,5,01/23/2018,05:07,Pembina
"3550 46th Street East,Minneapolis,MN",44.920198,-93.220336,1,12,Ericsson,Nokomis,6,01/23/2018,05:20,Pembina
"3550 46th Street East,Minneapolis,MN",44.920198,-93.220336,1,12,Ericsson,Nokomis,6,01/23/2018,05:26,Pembina
"500 lyn park cir n,Minneapolis,MN",44.997095,-93.286447,2,5,Near - North,Near North,1,01/23/2018,08:19,Pembina
"2418 3rd st n ,Minneapolis,MN",45.012808,-93.26495600000001,2,3,Bottineau,Northeast,2,01/23/2018,08:19,Pembina
"2416 3rd st n ,Minneapolis,MN",44.994181,-93.281878,2,5,Near - North,Near North,1,01/23/2018,08:22,Pembina
"1712 Lyn Park Ave N,Minneapolis,MN",44.996975,-93.285921,2,5,Near - North,Near North,1,01/23/2018,08:31,Pembina
"3004 KNOX AVE S ,Minneapolis,MN",44.948172,-93.30464599999999,2,10,ECCO,Calhoun Isle,5,01/23/2018,08:43,Pembina
"732 Aldrich Ave N,Minneapolis,MN",44.986063,-93.289969,2,5,Sumner - Glenwood,Near North,1,01/23/2018,08:49,Pembina
"736 Aldrich ave n ,Minneapolis,MN",44.985957,-93.29059699999999,2,5,Sumner - Glenwood,Near North,1,01/23/2018,08:49,Pembina
"410 2nd Ave SE,Minneapolis,MN",44.987316,-93.252615,2,3,Marcy Holmes,University,4,01/23/2018,08:53,Pembina
"3744 25th ave s,Minneapolis,MN",44.934343,-93.235923,2,12,Standish,Powderhorn,6,01/23/2018,08:53,Pembina
"3528 14th Avenue South,Minneapolis,MN",44.938489000000004,-93.25523299999999,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,08:55,Pembina
"2618 3rd St n,Minneapolis,MN",44.994181,-93.281878,2,5,Near - North,Near North,1,01/23/2018,08:56,Pembina
"612 3rd ave se,Minneapolis,MN",44.988772999999995,-93.249615,2,3,Marcy Holmes,University,4,01/23/2018,09:01,Pembina
"830 ALDRICH AVE N ,Minneapolis,MN",44.987076,-93.290585,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:02,Pembina
"902 Aldrich Ave N,Minneapolis,MN",44.987217,-93.290869,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:06,Pembina
"3616 4th St n,Minneapolis,MN",45.020828,-93.284998,2,4,McKinley,Camden,1,01/23/2018,09:07,Pembina
"408 3rd ave ne,Minneapolis,MN",44.991538,-93.25617,2,3,St. Anthony West,Northeast,2,01/23/2018,09:13,Pembina
"830 Aldrich ave n ,Minneapolis,MN",44.987076,-93.290585,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:15,Pembina
"Mall st s and irving,Minneapolis,MN",44.949925,-93.302097,2,7,East Isles,Calhoun Isle,3,01/23/2018,09:18,Pembina
"802 3rd ave ne,Minneapolis,MN",44.993396999999995,-93.251231,2,3,St. Anthony East,Northeast,2,01/23/2018,09:18,Pembina
"1040 Aldrich ave n ,Minneapolis,MN",44.988347,-93.290777,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:19,Pembina
"1028 ALDRICH AVE N,Minneapolis,MN",44.988278,-93.290773,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:20,Pembina
"3524 14th Avenue South,Minneapolis,MN",44.938629,-93.255228,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,09:21,Pembina
"410 3rd ave ne,Minneapolis,MN",44.991518,-93.256238,2,3,St. Anthony West,Northeast,2,01/23/2018,09:23,Pembina
"3540 13th Avenue South,Minneapolis,MN",44.938056,-93.256217,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,09:25,Pembina
"806 3RD AVE NE,Minneapolis,MN",44.993471,-93.251046,2,3,St. Anthony East,Northeast,2,01/23/2018,09:26,Pembina
"524 4th ave se,Minneapolis,MN",44.987629,-93.24838100000001,2,3,Marcy Holmes,University,4,01/23/2018,09:28,Pembina
"424 5th ave se,Minneapolis,MN",44.986121999999995,-93.247348,2,3,Marcy Holmes,University,4,01/23/2018,09:36,Pembina
"624 Bryant Ave N,Minneapolis,MN",44.984741,-93.291015,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:37,Pembina
"3100 W CALHOUN BLVD,Minneapolis,MN",44.946152000000005,-93.321396,2,13,West Calhoun,Calhoun Isle,5,01/23/2018,09:37,Pembina
"710 Bryant ave ,Minneapolis,MN",44.985611999999996,-93.291577,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:38,Pembina
"3538 13th ave so,Minneapolis,MN",44.938140000000004,-93.256518,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,09:40,Pembina
"708 BRYANT AVE N,Minneapolis,MN",44.985623,-93.291797,2,5,Sumner - Glenwood,Near North,1,01/23/2018,09:42,Pembina
"3542 3rd St n,Minneapolis,MN",45.019224,-93.283468,2,4,McKinley,Camden,1,01/23/2018,09:45,Pembina
"206 7TH AVE NE,Minneapolis,MN",44.995217,-93.262991,2,3,St. Anthony West,Northeast,2,01/23/2018,09:46,Pembina
"3900 13th Avenue South,Minneapolis,MN",44.932204,-93.256442,2,8,Bancroft,Powderhorn,6,01/23/2018,09:48,Pembina
"3540 3rd St n ,Minneapolis,MN",45.01919,-93.283468,2,4,McKinley,Camden,1,01/23/2018,09:49,Pembina
"310 7th Ave Ne,Minneapolis,MN",44.995929,-93.260927,2,3,St. Anthony West,Northeast,2,01/23/2018,09:50,Pembina
"3840 13th ave s,Minneapolis,MN",44.93284,-93.256417,2,8,Bancroft,Powderhorn,6,01/23/2018,09:50,Pembina
"720 6th ave se,Minneapolis,MN",44.988343,-93.24374499999999,2,3,Marcy Holmes,University,4,01/23/2018,09:50,Pembina
"The mall & Humbolt Ave s,Minneapolis,MN",44.950057,-93.30082900000001,2,7,East Isles,Calhoun Isle,3,01/23/2018,09:51,Pembina
"3100 W CALHOUN BLVD,Minneapolis,MN",44.946152000000005,-93.321396,2,13,West Calhoun,Calhoun Isle,5,01/23/2018,09:54,Pembina
"2914 4th st n,Minneapolis,MN",45.010011999999996,-93.284626,2,5,Hawthorne,Near North,1,01/23/2018,09:54,Pembina
"3044 40th st e,Minneapolis,MN",44.930506,-93.228296,2,12,Standish,Powderhorn,6,01/23/2018,09:55,Pembina
"712 5 th ave se,Minneapolis,MN",44.988747,-93.245328,2,3,Marcy Holmes,University,4,01/23/2018,09:55,Pembina
"3948 14TH AVE S,Minneapolis,MN",44.930888,-93.255213,2,8,Bancroft,Powderhorn,6,01/23/2018,09:57,Pembina
"4036 14TH AVE S,Minneapolis,MN",44.929404999999996,-93.255228,2,8,Bancroft,Powderhorn,6,01/23/2018,09:58,Pembina
"324 5 th ave se ,Minneapolis,MN",44.984947,-93.248257,2,3,Marcy Holmes,University,4,01/23/2018,09:59,Pembina
"802 6TH AVE SE,Minneapolis,MN",44.988856,-93.24375500000001,2,3,Marcy Holmes,University,4,01/23/2018,10:00,Pembina
"3100 w Calhoun BLVD,Minneapolis,MN",44.946152000000005,-93.321396,2,13,West Calhoun,Calhoun Isle,5,01/23/2018,10:03,Pembina
"2900 dean pkwy,Minneapolis,MN",44.951226,-93.316788,2,7,Cedar - Isles - Dean,Calhoun Isle,3,01/23/2018,10:06,Pembina
"816 39th st e,Minneapolis,MN",44.932567,-93.262281,2,8,Bancroft,Powderhorn,6,01/23/2018,10:08,Pembina
"304 6th ave se,Minneapolis,MN",44.983905,-93.247294,2,3,Marcy Holmes,University,4,01/23/2018,10:13,Pembina
"3100 block of calhoon blvd,Minneapolis,MN",44.946152000000005,-93.321396,2,13,West Calhoun,Calhoun Isle,5,01/23/2018,10:18,Pembina
"3032 4th St n ,Minneapolis,MN",45.011603,-93.284901,2,5,Hawthorne,Near North,1,01/23/2018,10:18,Pembina
"THE MALL & IRVING AVE S,Minneapolis,MN",44.949925,-93.302097,2,7,East Isles,Calhoun Isle,3,01/23/2018,10:18,Pembina
"720 5th st ne,Minneapolis,MN",44.997232000000004,-93.259171,2,3,St. Anthony West,Northeast,2,01/23/2018,10:19,Pembina
"400 6th Ave se,Minneapolis,MN",44.985039,-93.246409,2,3,Marcy Holmes,University,4,01/23/2018,10:20,Pembina
"2114 6th st n,Minneapolis,MN",45.000718,-93.28619,2,5,Hawthorne,Near North,1,01/23/2018,10:20,Pembina
"312 4TH AVE SE,Minneapolis,MN",44.98552,-93.250068,2,3,Marcy Holmes,University,4,01/23/2018,10:21,Pembina
"1828 Dupont Ave N,Minneapolis,MN",44.998391999999996,-93.292132,2,5,Near - North,Near North,1,01/23/2018,10:22,Pembina
"714 5th St NE,Minneapolis,MN",44.997116999999996,-93.25936899999999,2,3,St. Anthony West,Northeast,2,01/23/2018,10:23,Pembina
"2906 4th st n ,Minneapolis,MN",45.0098,-93.284627,2,5,Hawthorne,Near North,1,01/23/2018,10:24,Pembina
"320 7TH AVE SE,Minneapolis,MN",44.983453999999995,-93.245806,2,3,Marcy Holmes,University,4,01/23/2018,10:24,Pembina
"248 6th st ne,Minneapolis,MN",44.992024,-93.254165,2,3,St. Anthony East,Northeast,2,01/23/2018,10:25,Pembina
"1826 DuPont ave n ,Minneapolis,MN",44.998296,-93.29233599999999,2,5,Near - North,Near North,1,01/23/2018,10:27,Pembina
"1714 colfax ave s ,Minneapolis,MN",44.966873,-93.29179599999999,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,10:28,Pembina
"334 4th st ne,Minneapolis,MN",44.992497,-93.25806999999999,2,3,St. Anthony West,Northeast,2,01/23/2018,10:31,Pembina
"2800 block of dean pkwy,Minneapolis,MN",44.951838,-93.31760799999999,2,7,Cedar - Isles - Dean,Calhoun Isle,3,01/23/2018,10:31,Pembina
"406 9th st se,Minneapolis,MN",44.990531,-93.245518,2,3,Marcy Holmes,University,4,01/23/2018,10:37,Pembina
"524 7th ave se,Minneapolis,MN",44.985642,-93.24405300000001,2,3,Marcy Holmes,University,4,01/23/2018,10:37,Pembina
"518 7th ave se,Minneapolis,MN",44.985597999999996,-93.244088,2,3,Marcy Holmes,University,4,01/23/2018,10:41,Pembina
"706 7th ave se,Minneapolis,MN",44.987464,-93.242712,2,3,Marcy Holmes,University,4,01/23/2018,10:42,Pembina
"200 block of Kenwood PKWY,Minneapolis,MN",44.970578,-93.291263,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,10:43,Pembina
"1000 kenwood pkwy,Minneapolis,MN",44.969079,-93.302188,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,10:45,Pembina
"1110 HUMBOLDT AVE N,Minneapolis,MN",44.989412,-93.29757099999999,2,5,Near - North,Near North,1,01/23/2018,10:46,Pembina
"414 6 th ave se,Minneapolis,MN",44.984728999999994,-93.244185,2,3,Marcy Holmes,University,4,01/23/2018,10:47,Pembina
"1402 Girard ave n ,Minneapolis,MN",44.993281,-93.297053,2,5,Near - North,Near North,1,01/23/2018,10:47,Pembina
"3808 11th Avenue South,Minneapolis,MN",44.93378,-93.25899,2,8,Bancroft,Powderhorn,6,01/23/2018,10:47,Pembina
"308 4TH ST NE ,Minneapolis,MN",44.991859000000005,-93.257257,2,3,St. Anthony West,Northeast,2,01/23/2018,10:47,Pembina
"316 4th st ne,Minneapolis,MN",44.992036,-93.257378,2,3,St. Anthony West,Northeast,2,01/23/2018,10:49,Pembina
"424 7 th ave se ,Minneapolis,MN",44.984747,-93.244796,2,3,Marcy Holmes,University,4,01/23/2018,10:49,Pembina
"3040 HUMBOLDT AVE S,Minneapolis,MN",44.946945,-93.30108299999999,2,10,ECCO,Calhoun Isle,5,01/23/2018,10:51,Pembina
"4340 13th Avenue South,Minneapolis,MN",44.923787,-93.256478,2,11,Northrop,Nokomis,6,01/23/2018,10:52,Pembina
"3736 15th ave s,Minneapolis,MN",44.934573,-93.253961,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,10:53,Pembina
"3100 w Calhoun ,Minneapolis,MN",44.946152000000005,-93.321396,2,13,West Calhoun,Calhoun Isle,5,01/23/2018,10:55,Pembina
"1770 colfax ave s,Minneapolis,MN",44.966136,-93.2918,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,10:55,Pembina
"3028 4th St n ,Minneapolis,MN",45.011581,-93.284901,2,5,Hawthorne,Near North,1,01/23/2018,10:57,Pembina
"602 6th st ne,Minneapolis,MN",44.974384,-93.263216,2,7,Elliot Park,Central,3,01/23/2018,10:59,Pembina
"3036 humboldt ave s,Minneapolis,MN",44.947071,-93.301089,2,10,ECCO,Calhoun Isle,5,01/23/2018,10:59,Pembina
"3708 11TH AVE S,Minneapolis,MN",44.935595,-93.259015,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,10:59,Pembina
"3218 4th St n ,Minneapolis,MN",45.013796,-93.284628,2,4,McKinley,Camden,1,01/23/2018,11:00,Pembina
"820 39th st e,Minneapolis,MN",44.932567,-93.262231,2,8,Bancroft,Powderhorn,6,01/23/2018,11:01,Pembina
"1000 block of kenwood pkwy,Minneapolis,MN",44.969079,-93.302188,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,11:02,Pembina
"1802 Irving Ave N,Minneapolis,MN",44.997615,-93.299435,2,5,Willard - Hay,Near North,1,01/23/2018,11:03,Pembina
"310 4th st ne,Minneapolis,MN",44.991896999999994,-93.257283,2,3,St. Anthony West,Northeast,2,01/23/2018,11:06,Pembina
"3608 13TH AVE S,Minneapolis,MN",44.93735,-93.256491,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,11:06,Pembina
"212 7th ave se,Minneapolis,MN",44.982389000000005,-93.246628,2,3,Marcy Holmes,University,4,01/23/2018,11:11,Pembina
"616 7th ave se,Minneapolis,MN",44.986792,-93.24319799999999,2,3,Marcy Holmes,University,4,01/23/2018,11:13,Pembina
"524 8TH AVE SE,Minneapolis,MN",44.985383,-93.24252800000001,2,3,Marcy Holmes,University,4,01/23/2018,11:13,Pembina
"420 8th ave se ,Minneapolis,MN",44.984355,-93.24329399999999,2,3,Marcy Holmes,University,4,01/23/2018,11:13,Pembina
"3418 HUMBOLDT AVE S,Minneapolis,MN",44.940652,-93.300907,2,10,ECCO,Calhoun Isle,5,01/23/2018,11:14,Pembina
"1800 IRVING AVE N,Minneapolis,MN",44.997568,-93.299121,2,5,Near - North,Near North,1,01/23/2018,11:14,Pembina
"522 8th Ave se,Minneapolis,MN",44.985465000000005,-93.242795,2,3,Marcy Holmes,University,4,01/23/2018,11:16,Pembina
"520 8TH AVE SE,Minneapolis,MN",44.985440000000004,-93.24281500000001,2,3,Marcy Holmes,University,4,01/23/2018,11:17,Pembina
"3716 15th Avenue South,Minneapolis,MN",44.935263,-93.253964,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,11:17,Pembina
"1834 40TH ST E,Minneapolis,MN",44.930525,-93.24663699999999,2,12,Standish,Powderhorn,6,01/23/2018,11:17,Pembina
"3104 HUMBOLDT AVE S,Minneapolis,MN",44.946294,-93.301087,2,10,ECCO,Calhoun Isle,5,01/23/2018,11:18,Pembina
"4000 15th av s,Minneapolis,MN",44.930503,-93.253653,2,8,Bancroft,Powderhorn,6,01/23/2018,11:19,Pembina
"1724 Irving ave n ,Minneapolis,MN",44.997051,-93.299131,2,5,Near - North,Near North,1,01/23/2018,11:19,Pembina
"504 8th ave se,Minneapolis,MN",44.985178999999995,-93.243022,2,3,Marcy Holmes,University,4,01/23/2018,11:19,Pembina
"3954 14TH AVE S,Minneapolis,MN",44.930719,-93.254932,2,8,Bancroft,Powderhorn,6,01/23/2018,11:19,Pembina
"1504 SPRUCE PL,Minneapolis,MN",44.966829,-93.280835,2,7,Loring Park,Central,3,01/23/2018,11:20,Pembina
"3116 Girard Avenue S,Minneapolis,MN",44.94598,-93.297402,2,10,South Uptown,Calhoun Isle,5,01/23/2018,11:21,Pembina
"1712 Irving ave n ,Minneapolis,MN",44.996762,-93.299428,2,5,Near - North,Near North,1,01/23/2018,11:21,Pembina
"2126 6th st n,Minneapolis,MN",45.001025,-93.286041,2,5,Hawthorne,Near North,1,01/23/2018,11:22,Pembina
"1702 COLFAX AVE S,Minneapolis,MN",44.967315,-93.291793,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,11:23,Pembina
"632 Adams st ne,Minneapolis,MN",44.996101,-93.256473,2,3,St. Anthony East,Northeast,2,01/23/2018,11:25,Pembina
"1522 Irving Ave N,Minneapolis,MN",44.994869,-93.29918599999999,2,5,Near - North,Near North,1,01/23/2018,11:26,Pembina
"2122 6th st n ,Minneapolis,MN",45.000925,-93.28619300000001,2,5,Hawthorne,Near North,1,01/23/2018,11:28,Pembina
"614 adams st ne,Minneapolis,MN",44.995571000000005,-93.256253,2,3,St. Anthony East,Northeast,2,01/23/2018,11:28,Pembina
"3340 Girard ave s,Minneapolis,MN",44.941724,-93.29741899999999,2,10,South Uptown,Calhoun Isle,5,01/23/2018,11:29,Pembina
"2206 6th St n ,Minneapolis,MN",45.001754,-93.286167,2,5,Hawthorne,Near North,1,01/23/2018,11:30,Pembina
"324 7th ave se,Minneapolis,MN",44.983493,-93.245774,2,3,Marcy Holmes,University,4,01/23/2018,11:31,Pembina
"420 6TH AVE SE,Minneapolis,MN",44.985316999999995,-93.24656800000001,2,3,Marcy Holmes,University,4,01/23/2018,11:34,Pembina
"1504 IRVING AVE N,Minneapolis,MN",44.994415000000004,-93.299194,2,5,Near - North,Near North,1,01/23/2018,11:35,Pembina
"1308 Grand St ne,Minneapolis,MN",45.000748,-93.269203,2,3,Sheridan,Northeast,2,01/23/2018,11:37,Pembina
"1440 32ND ST W ,Minneapolis,MN",44.944891,-93.29914699999999,2,10,ECCO,Calhoun Isle,5,01/23/2018,11:37,Pembina
"318 Clifton av ,Minneapolis,MN",44.966011,-93.282891,2,7,Loring Park,Central,3,01/23/2018,11:40,Pembina
"3126 6th st n,Minneapolis,MN",45.012268,-93.286429,2,5,Hawthorne,Near North,1,01/23/2018,11:44,Pembina
"120 9th ave ne,Minneapolis,MN",44.996319,-93.266868,2,3,St. Anthony West,Northeast,2,01/23/2018,11:45,Pembina
"710 7th st se,Minneapolis,MN",44.987632,-93.242549,2,3,Marcy Holmes,University,4,01/23/2018,11:48,Pembina
"106 19th st e,Minneapolis,MN",44.964177,-93.2761,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,11:48,Pembina
"3912 13TH AVE S,Minneapolis,MN",44.93189,-93.25645,2,8,Bancroft,Powderhorn,6,01/23/2018,11:48,Pembina
"3608 12TH AVE S,Minneapolis,MN",44.937369,-93.257775,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,11:50,Pembina
"616 11TH AVE SE,Minneapolis,MN",44.9846,-93.237685,2,3,Marcy Holmes,University,4,01/23/2018,11:51,Pembina
"1406 SPRUCE PL,Minneapolis,MN",44.9684,-93.280963,2,7,Loring Park,Central,3,01/23/2018,11:51,Pembina
"408 7TH AVE SE,Minneapolis,MN",44.984497,-93.244996,2,3,Marcy Holmes,University,4,01/23/2018,11:52,Pembina
"3038 15th Avenue South,Minneapolis,MN",44.947174,-93.25376800000001,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,11:54,Pembina
"228 5th st ne,Minneapolis,MN",44.991624,-93.255825,2,3,St. Anthony West,Northeast,2,01/23/2018,11:55,Pembina
"3022 15th ave so,Minneapolis,MN",44.947645,-93.254052,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,11:55,Pembina
"2204 39th st e,Minneapolis,MN",44.932475,-93.240882,2,12,Standish,Powderhorn,6,01/23/2018,11:57,Pembina
"816 12th Ave se,Minneapolis,MN",44.985956,-93.234789,2,3,Marcy Holmes,University,4,01/23/2018,11:57,Pembina
"110 9th ave NE,Minneapolis,MN",44.996244,-93.267084,2,3,St. Anthony West,Northeast,2,01/23/2018,11:57,Pembina
"804 12TH AVE SE,Minneapolis,MN",44.985646,-93.235084,2,3,Marcy Holmes,University,4,01/23/2018,11:58,Pembina
"716 11th ave se ,Minneapolis,MN",44.985541999999995,-93.236979,2,3,Marcy Holmes,University,4,01/23/2018,11:58,Pembina
"1704 Clifton ave,Minneapolis,MN",44.967089,-93.28583499999999,2,7,Loring Park,Central,3,01/23/2018,11:59,Pembina
"713 8th ave se ,Minneapolis,MN",44.987251,-93.24159499999999,2,3,Marcy Holmes,University,4,01/23/2018,12:02,Pembina
"3224 15th ave s,Minneapolis,MN",44.943973,-93.253741,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,12:02,Pembina
"422 7th st se,Minneapolis,MN",44.988469,-93.246776,2,3,Marcy Holmes,University,4,01/23/2018,12:03,Pembina
"1802 clinton av s,Minneapolis,MN",44.964942,-93.271489,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:03,Pembina
"138 18th st e,Minneapolis,MN",44.965402000000005,-93.27476999999999,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:04,Pembina
"2526 6th St n,Minneapolis,MN",45.005478000000004,-93.286466,2,5,Hawthorne,Near North,1,01/23/2018,12:08,Pembina
"3530 Fremont ave s,Minneapolis,MN",44.938502,-93.29584799999999,2,10,South Uptown,Calhoun Isle,5,01/23/2018,12:09,Pembina
"1314 Irving Ave N,Minneapolis,MN",44.992464,-93.299312,2,5,Near - North,Near North,1,01/23/2018,12:09,Pembina
"3644 10TH AVE S,Minneapolis,MN",44.936234000000006,-93.26029799999999,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,12:09,Pembina
"3536 GIRARD AVE S ,Minneapolis,MN",44.93843,-93.29749100000001,2,10,South Uptown,Calhoun Isle,5,01/23/2018,12:09,Pembina
"122 oak grove st,Minneapolis,MN",44.966609000000005,-93.28025600000001,2,7,Loring Park,Central,3,01/23/2018,12:12,Pembina
"218 7th st se,Minneapolis,MN",44.989447,-93.249533,2,3,Marcy Holmes,University,4,01/23/2018,12:13,Pembina
"3720 10TH AVE S,Minneapolis,MN",44.935264000000004,-93.260239,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,12:14,Pembina
"3222 6th st n,Minneapolis,MN",45.013903000000006,-93.286168,2,4,McKinley,Camden,1,01/23/2018,12:16,Pembina
"710 13th Ave se,Minneapolis,MN",44.984358,-93.234236,2,3,Marcy Holmes,University,4,01/23/2018,12:17,Pembina
"626 12th ave se,Minneapolis,MN",44.984196999999995,-93.236468,2,3,Marcy Holmes,University,4,01/23/2018,12:17,Pembina
"2910 Bryant Ave n ,Minneapolis,MN",45.009896999999995,-93.290234,2,5,Hawthorne,Near North,1,01/23/2018,12:17,Pembina
"1322 Irving ave n ,Minneapolis,MN",44.992533,-93.299438,2,5,Near - North,Near North,1,01/23/2018,12:18,Pembina
"720 Summer st ne,Minneapolis,MN",44.996906,-93.252178,2,3,St. Anthony East,Northeast,2,01/23/2018,12:19,Pembina
"144 18th st e,Minneapolis,MN",44.965403,-93.274742,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:19,Pembina
"110 oak grove st,Minneapolis,MN",44.966514000000004,-93.280191,2,7,Loring Park,Central,3,01/23/2018,12:19,Pembina
"1318 Irving ave n ,Minneapolis,MN",44.992473,-93.299439,2,5,Near - North,Near North,1,01/23/2018,12:20,Pembina
"3154 14th ave s,Minneapolis,MN",44.945341,-93.255033,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,12:21,Pembina
"614 12th ave se,Minneapolis,MN",44.984136,-93.236517,2,3,Marcy Holmes,University,4,01/23/2018,12:21,Pembina
"1618 5th st ne,Minneapolis,MN",45.004759,-93.260488,2,3,Sheridan,Northeast,2,01/23/2018,12:21,Pembina
"1814 clinton av s,Minneapolis,MN",44.964647,-93.271488,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:25,Pembina
"1926 COLFAX AVE S,Minneapolis,MN",44.963464,-93.291812,2,7,Lowry Hill,Calhoun Isle,3,01/23/2018,12:25,Pembina
"1720 Stevens Ave s,Minneapolis,MN",44.965902,-93.275643,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:29,Pembina
"1158 adams st ne,Minneapolis,MN",44.999928999999995,-93.25627,2,1,Logan Park,Northeast,2,01/23/2018,12:31,Pembina
"3412 colfax,Minneapolis,MN",44.940846,-93.292363,2,10,South Uptown,Calhoun Isle,5,01/23/2018,12:31,Pembina
"1120 James Avenue North ,Minneapolis,MN",44.989644,-93.300699,2,5,Near - North,Near North,1,01/23/2018,12:31,Pembina
"3020 Humboldt Avenue s,Minneapolis,MN",44.947722999999996,-93.300834,2,10,ECCO,Calhoun Isle,5,01/23/2018,12:34,Pembina
"1328 Jefferson St Ne,Minneapolis,MN",45.001816,-93.255287,2,1,Logan Park,Northeast,2,01/23/2018,12:36,Pembina
"1326 7TH ST SE,Minneapolis,MN",44.983527,-93.23366,2,3,Marcy Holmes,University,4,01/23/2018,12:38,Pembina
"124 18th st e,Minneapolis,MN",44.965441,-93.274939,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:38,Pembina
"1724 33rd st e,Minneapolis,MN",44.94308,-93.249613,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,12:40,Pembina
"1308 7TH ST SE,Minneapolis,MN",44.983598,-93.234617,2,3,Marcy Holmes,University,4,01/23/2018,12:41,Pembina
"1224 James ave n ,Minneapolis,MN",44.990815999999995,-93.300702,2,5,Near - North,Near North,1,01/23/2018,12:42,Pembina
"3022 15TH AVE S,Minneapolis,MN",44.947645,-93.254052,2,9,Powderhorn Park,Powderhorn,6,01/23/2018,12:42,Pembina
"3408 Fremont ave s ,Minneapolis,MN",44.940934999999996,-93.296103,2,10,South Uptown,Calhoun Isle,5,01/23/2018,12:43,Pembina
"106 18TH ST E,Minneapolis,MN",44.965469,-93.276004,2,6,Steven's Square - Loring Heights,Central,3,01/23/2018,12:43,Pembina
