Location,Latitude,Longitude,Ward,Community,Neighborhood,Day,Tow_Zone,Date,Time,Emergency
"2837 DUPONT AVE S,Minneapolis,MN",44.950748,-93.293031,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,22:54,Olive
"3500 LYNDALE AVE N,Minneapolis,MN",45.018640000000005,-93.28775300000001,4,Camden,McKinley,1,1,01/15/2018,23:01,Olive
"2814 EMERSON AVE S,Minneapolis,MN",44.951512,-93.294787,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,21:30,Olive
"34TH & CHICAGO AVE S,Minneapolis,MN",44.941371999999994,-93.262588,9,Powderhorn,Central,1,5,01/15/2018,23:02,Olive
"3200 JOHNSON ST NE,Minneapolis,MN",45.025998,-93.23734300000001,1,Northeast,Waite Park,1,2,01/15/2018,21:02,Olive
"2837 DUPONT AVE S,Minneapolis,MN",44.950748,-93.293031,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,22:57,Olive
"3200 JOHNSON ST NE,Minneapolis,MN",45.025998,-93.23734300000001,1,Northeast,Waite Park,1,2,01/15/2018,21:02,Olive
"3017 Dupont Avenue South,Minneapolis,MN",44.947706,-93.29292199999999,10,Calhoun Isle,South Uptown,1,5,01/15/2018,23:34,Olive
"36TH & CHICAGO AVE S,Minneapolis,MN",44.937768,-93.262538,9,Powderhorn,Central,1,5,01/15/2018,23:01,Olive
"4300 CHICAGO AVE S,Minneapolis,MN",44.92499,-93.26279699999999,8,Nokomis,Regina,1,5,01/15/2018,22:50,Olive
"4100 CHICAGO AVE S,Minneapolis,MN",44.92858,-93.262814,8,Powderhorn,Bryant,1,5,01/15/2018,23:04,Olive
"2500 UNIVERSITY AVE SE,Minneapolis,MN",44.972970000000004,-93.221334,2,University,Prospect Park - East River Road,1,4,01/15/2018,23:06,Olive
"3900 LYNDALE AVE N,Minneapolis,MN",45.025909999999996,-93.28773100000001,4,Camden,Webber - Camden,1,1,01/15/2018,22:52,Olive
"420 CENTRAL AVE NE,Minneapolis,MN",44.99173,-93.250978,3,University,Nicollet Island - East Bank,1,2,01/15/2018,23:11,Olive
"2417 2ND ST N,Minneapolis,MN",45.003864,-93.280518,5,Near North,Hawthorne,1,1,01/15/2018,22:45,Olive
"2419 2ND ST N,Minneapolis,MN",45.012788,-93.26569,3,Northeast,Bottineau,1,2,01/15/2018,22:45,Olive
"15 13TH AVE NE,Minneapolis,MN",44.999266,-93.272402,3,Northeast,Sheridan,1,2,01/15/2018,22:08,Olive
"2500 UNIVERSITY AVE SE,Minneapolis,MN",44.972970000000004,-93.221334,2,University,Prospect Park - East River Road,1,4,01/15/2018,23:14,Olive
"4000 BLOCK LYNDALE AVE N,Minneapolis,MN",45.027708000000004,-93.288087,4,Camden,Webber - Camden,1,1,01/15/2018,23:00,Olive
"708 CENTRAL AVE SE,Minneapolis,MN",44.990883000000004,-93.251104,3,University,Marcy Holmes,1,2,01/15/2018,22:55,Olive
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,1,5,01/15/2018,23:55,Olive
"3300 4TH AVE S,Minneapolis,MN",44.943042,-93.27046800000001,9,Powderhorn,Central,1,5,01/16/2018,00:00,Olive
"2600 BLOCK UNIVERSITY AVE SE,Minneapolis,MN",44.972384000000005,-93.220098,2,University,Prospect Park - East River Road,1,4,01/15/2018,22:30,Olive
"4399 XERXES AVE S,Minneapolis,MN",44.923339,-93.318896,13,Southwest,Linden Hills,1,5,01/16/2018,00:04,Olive
"4600 CHICAGO AVE S,Minneapolis,MN",44.919573,-93.262813,8,Nokomis,Field,1,5,01/15/2018,23:05,Olive
"4000 BLOCK LYNDALE AVE N,Minneapolis,MN",45.02772,-93.28776500000001,4,Camden,Webber - Camden,1,1,01/15/2018,22:58,Olive
"3100 CHICAGO AVE S,Minneapolis,MN",44.946517,-93.262986,9,Powderhorn,Central,1,5,01/15/2018,21:20,Olive
"2600 W 44TH ST ,Minneapolis,MN",44.923037,-93.311607,13,Southwest,Linden Hills,1,5,01/16/2018,00:23,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/15/2018,23:57,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/16/2018,00:00,Olive
"5200 CHICAGO AVE S,Minneapolis,MN",44.908734,-93.26306,11,Nokomis,Page,1,5,01/15/2018,23:00,Olive
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,1,5,01/16/2018,00:30,Olive
"3600 CHICAGO AVE S,Minneapolis,MN",44.937627,-93.262867,8,Powderhorn,Central,1,5,01/15/2018,22:00,Olive
"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,1,3,01/15/2018,23:50,Olive
"300 BLOCK 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,1,3,01/15/2018,23:50,Olive
"3430 CHICAGO AVE S,Minneapolis,MN",44.940275,-93.262918,9,Powderhorn,Central,1,5,01/15/2018,23:30,Olive
"3325 HENNEPIN AVE S,Minneapolis,MN",44.942168,-93.298353,10,Calhoun Isle,South Uptown,1,5,01/16/2018,00:37,Olive
"3030 BLOOMINGTON AVE S,Minneapolis,MN",44.947446,-93.252494,9,Powderhorn,Powderhorn Park,1,6,01/15/2018,23:30,Olive
"1 15TH ST W,Minneapolis,MN",44.967721999999995,-93.277815,7,Central,Loring Park,1,3,01/16/2018,00:00,Olive
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,1,5,01/16/2018,00:44,Olive
"4000 LYNDALE AVE N,Minneapolis,MN",45.02772,-93.28776500000001,4,Camden,Webber - Camden,1,1,01/15/2018,23:39,Olive
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,1,5,01/16/2018,00:47,Olive
"300 13TH AVE NE,Minneapolis,MN",45.000694,-93.26444000000001,3,Northeast,Sheridan,1,2,01/15/2018,23:39,Olive
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,1,5,01/16/2018,00:50,Olive
"225 5TH AVE SE,Minneapolis,MN",44.984041,-93.249398,3,University,Marcy Holmes,1,4,01/16/2018,00:04,Olive
"2700 BLOCK UNIVERSITY AVE SE,Minneapolis,MN",44.97183,-93.21857,2,University,Prospect Park - East River Road,1,4,01/15/2018,23:42,Olive
"100 13TH AVE NE,Minneapolis,MN",45.000106,-93.269988,3,Northeast,Sheridan,1,2,01/15/2018,23:38,Olive
"3012 DUPONT AVE S,Minneapolis,MN",44.947829,-93.29347299999999,10,Calhoun Isle,South Uptown,1,5,01/16/2018,00:54,Olive
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,1,5,01/16/2018,00:54,Olive
"4800 CHICAGO AVE S,Minneapolis,MN",44.915993,-93.262872,8,Nokomis,Field,1,5,01/15/2018,23:41,Olive
"3400 BLOOMINGTON AVE S,Minneapolis,MN",44.941221,-93.252661,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:00,Olive
"703 2ND ST N,Minneapolis,MN",44.988791,-93.276164,3,Central,North Loop,1,1,01/15/2018,23:33,Olive
"4800 CHICAGO AVE S,Minneapolis,MN",44.915993,-93.262872,8,Nokomis,Field,1,5,01/16/2018,00:00,Olive
"2520 2ND ST N,Minneapolis,MN",45.005719,-93.279901,5,Near North,Hawthorne,1,1,01/15/2018,23:34,Olive
"3400 BLOOMINGTON AVE S,Minneapolis,MN",44.941221,-93.252661,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:05,Olive
"5800 CHICAGO AVE S,Minneapolis,MN",44.89776,-93.263134,11,Nokomis,Diamond Lake,1,5,01/15/2018,23:32,Olive
"200 W 15TH ST ,Minneapolis,MN",44.967869,-93.281234,7,Central,Loring Park,1,3,01/15/2018,23:58,Olive
"903 2ND ST N,Minneapolis,MN",44.990812,-93.279437,3,Central,North Loop,1,1,01/16/2018,00:00,Olive
"2500 JOHNSON ST NE,Minneapolis,MN",45.013213,-93.23715200000001,1,Northeast,Audubon Park,1,2,01/15/2018,23:44,Olive
"815 2ND ST N,Minneapolis,MN",44.989615,-93.277851,3,Central,North Loop,1,1,01/16/2018,00:00,Olive
"1810 UNIVERSITY AVE NE,Minneapolis,MN",45.00695,-93.26309599999999,3,Northeast,Bottineau,1,2,01/15/2018,23:09,Olive
"5 15TH ST W,Minneapolis,MN",44.967586,-93.278324,7,Central,Loring Park,1,3,01/15/2018,23:52,Olive
"200 BLOCK 13TH AVE NE,Minneapolis,MN",45.000911,-93.26615600000001,3,Northeast,Sheridan,1,2,01/15/2018,21:48,Olive
"3315 HENNEPIN AVE S,Minneapolis,MN",44.942368,-93.29835,10,Calhoun Isle,South Uptown,1,5,01/16/2018,01:12,Olive
"3300 HENNEPIN AVE ,Minneapolis,MN",44.942805,-93.298602,10,Calhoun Isle,ECCO,1,5,01/16/2018,01:14,Olive
"3115 BLOOMINGTON AVE S,Minneapolis,MN",44.946011,-93.252482,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:45,Olive
"3420 BLOOMINGTON AVE S,Minneapolis,MN",44.940526,-93.252758,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:50,Olive
"500 BLOCK 15TH ST E,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,00:30,Olive
"3700 BLOOMINGTON AVE S,Minneapolis,MN",44.935818,-93.252661,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:15,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/16/2018,00:15,Olive
"400 W 15TH ST ,Minneapolis,MN",44.968424,-93.28596,7,Central,Loring Park,1,3,01/15/2018,23:50,Olive
"300 BLOCK 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,1,3,01/15/2018,23:40,Olive
"200 W 15TH ST ,Minneapolis,MN",44.967869,-93.281234,7,Central,Loring Park,1,3,01/15/2018,23:46,Olive
"1000 18TH AVE SE,Minneapolis,MN",44.987991,-93.22664,1,University,Como,1,4,01/15/2018,23:49,Olive
"5200 Block Bryant Ave N,Minneapolis,MN",45.049455,-93.291528,4,Camden,Lind - Bohanon,1,1,01/16/2018,00:07,Olive
"300 W 15TH ST ,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,1,3,01/15/2018,23:45,Olive
"3029 CENTRAL AVE NE,Minneapolis,MN",45.02309,-93.246954,1,Northeast,Audubon Park,1,2,01/16/2018,00:15,Olive
"600 39TH AVE N ,Minneapolis,MN",45.025741,-93.286571,4,Camden,Webber - Camden,1,1,01/15/2018,23:56,Olive
"2600 BLOCK UNIVERSITY AVE SE,Minneapolis,MN",44.972384000000005,-93.220098,2,University,Prospect Park - East River Road,1,4,01/15/2018,23:13,Olive
"400 W 15TH ST ,Minneapolis,MN",44.968424,-93.28596,7,Central,Loring Park,1,3,01/15/2018,23:52,Olive
"200 W 15TH ST ,Minneapolis,MN",44.967869,-93.281234,7,Central,Loring Park,1,3,01/15/2018,23:46,Olive
"3200 LYNDALE AVE N ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,01/15/2018,23:51,Olive
"4721 CHICAGO AVE S,Minneapolis,MN",44.917064,-93.262237,11,Nokomis,Northrop,1,6,01/15/2018,23:40,Olive
"630 MAIN ST SE,Minneapolis,MN",44.981590000000004,-93.24837099999999,3,University,Marcy Holmes,1,4,01/16/2018,01:13,Olive
"628 MAIN ST SE,Minneapolis,MN",44.981590999999995,-93.248375,3,University,Marcy Holmes,1,4,01/16/2018,01:14,Olive
"3300 HENNEPIN AVE ,Minneapolis,MN",44.942805,-93.298602,10,Calhoun Isle,ECCO,1,5,01/16/2018,01:43,Olive
"3139 CENTRAL AVE NE,Minneapolis,MN",45.025208,-93.247294,1,Northeast,Audubon Park,1,2,01/16/2018,01:12,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/15/2018,23:59,Olive
"2600 EMERSON AVE N ,Minneapolis,MN",45.005987,-93.294205,5,Near North,Jordan,1,1,01/16/2018,01:10,Olive
"3212 HENNEPIN AVE S,Minneapolis,MN",44.944231,-93.298323,10,Calhoun Isle,South Uptown,1,5,01/16/2018,01:45,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/16/2018,00:00,Olive
"4600 LYNDALE AVE N ,Minneapolis,MN",45.038352,-93.286396,4,Camden,Camden Industrial,1,1,01/16/2018,01:09,Olive
"300 BLOCK 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,1,3,01/15/2018,23:35,Olive
"600 WASHINGTON AVE N,Minneapolis,MN",44.987314000000005,-93.27572099999999,3,Central,North Loop,1,1,01/16/2018,00:35,Olive
"3300 HENNEPIN AVE ,Minneapolis,MN",44.942805,-93.298602,10,Calhoun Isle,ECCO,1,5,01/16/2018,01:49,Olive
"605 2ND ST N,Minneapolis,MN",44.987734,-93.275141,3,Central,North Loop,1,1,01/16/2018,00:35,Olive
"1800 BLOCK EMERSON AVE N,Minneapolis,MN",44.997955,-93.293696,5,Near North,Near - North,1,1,01/16/2018,00:30,Olive
"500 BLOCK 15TH ST E,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,00:30,Olive
"4200 BLOCK BLOOMINGTON AVE S,Minneapolis,MN",44.926606,-93.252385,8,Nokomis,Northrop,1,6,01/16/2018,00:31,Olive
"30 UNIVERSITY AVE NE,Minneapolis,MN",44.989004,-93.257071,3,University,Nicollet Island - East Bank,1,2,01/16/2018,00:34,Olive
"500 BLOCK 15TH ST E,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,00:30,Olive
"2723 HENNEPIN AVE S,Minneapolis,MN",44.952959,-93.29754799999999,10,Calhoun Isle,Lowry Hill East,1,3,01/16/2018,00:15,Olive
"600 BLOCK VAN WHITE BLVD,Minneapolis,MN",44.984487,-93.293873,5,Near North,Sumner - Glenwood,1,1,01/16/2018,00:34,Olive
"3400 BLOOMINGTON AVE S,Minneapolis,MN",44.941221,-93.252661,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:05,Olive
"4300 UPTON AVE S,Minneapolis,MN",44.924504,-93.31499699999999,13,Southwest,Linden Hills,1,5,01/16/2018,02:08,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/16/2018,00:20,Olive
"500 BLOCK 15TH ST E,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,00:00,Olive
"2600 W 44TH ST ,Minneapolis,MN",44.923037,-93.311607,13,Southwest,Linden Hills,1,5,01/16/2018,02:11,Olive
"3400 BLOOMINGTON AVE S,Minneapolis,MN",44.941221,-93.252661,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,00:12,Olive
"699 W 61ST AVE ,Minneapolis,MN",44.892371000000004,-93.288338,11,Southwest,Windom,1,5,01/16/2018,02:13,Olive
"3141 CENTRAL AVE NE,Minneapolis,MN",45.025263,-93.246892,1,Northeast,Audubon Park,1,2,01/15/2018,22:42,Olive
"2336 CENTRAL AVE NE,Minneapolis,MN",45.011846999999996,-93.247592,1,Northeast,Holland,1,2,01/15/2018,22:54,Olive
"101 W 61ST ST,Minneapolis,MN",44.892158,-93.279886,11,Southwest,Windom,1,5,01/16/2018,02:17,Olive
"1818 UNIVERSITY AVE NE,Minneapolis,MN",45.006996,-93.26309599999999,3,Northeast,Bottineau,1,2,01/16/2018,00:21,Olive
"1816 UNIVERSITY AVE NE,Minneapolis,MN",45.006985,-93.26309599999999,3,Northeast,Bottineau,1,2,01/16/2018,00:25,Olive
"2800 W 44TH ST ,Minneapolis,MN",44.923691,-93.315275,13,Southwest,Linden Hills,1,5,01/16/2018,02:21,Olive
"626 MAIN ST SE,Minneapolis,MN",44.981593,-93.248379,3,University,Marcy Holmes,1,4,01/16/2018,00:59,Olive
"1-99 61 ST W,Minneapolis,MN",44.892213,-93.2781,11,Southwest,Windom,1,5,01/16/2018,02:26,Olive
"308 2ND AVE SE,Minneapolis,MN",44.986315000000005,-93.25338599999999,3,University,Marcy Holmes,1,4,01/16/2018,00:48,Olive
"624 MAIN ST SE,Minneapolis,MN",44.981595,-93.24838299999999,3,University,Marcy Holmes,1,4,01/16/2018,01:10,Olive
"3800 BLOCK BLOOMINGTON AVE S,Minneapolis,MN",44.933803000000005,-93.252398,8,Powderhorn,Bancroft,1,6,01/16/2018,01:05,Olive
"1710 UNIVERSITY AVE NE,Minneapolis,MN",45.005726,-93.263499,3,Northeast,Bottineau,1,2,01/16/2018,01:11,Olive
"2100 31ST ST E,Minneapolis,MN",44.946559,-93.242308,9,Powderhorn,Corcoran,1,6,01/16/2018,01:15,Olive
"700 BLOCK 15TH ST E,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,01:00,Olive
"600 BLOCK 15TH ST E,Minneapolis,MN",44.968057,-93.267635,6,Central,Elliot Park,1,3,01/16/2018,01:10,Olive
"600 BLOCK 15TH ST E,Minneapolis,MN",44.968057,-93.267635,6,Central,Elliot Park,1,3,01/16/2018,01:10,Olive
"1100 BLOCK VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,01:19,Olive
"600 BL;OCK 15TH ST E,Minneapolis,MN",44.968057,-93.267635,6,Central,Elliot Park,1,3,01/16/2018,01:03,Olive
"5100 BLOOMINGTON AVE S,Minneapolis,MN",44.910536,-93.252835,11,Nokomis,Hale,1,6,01/16/2018,00:40,Olive
"1100 BLOCK VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,01:00,Olive
"2645 HENNEPIN AVE S,Minneapolis,MN",44.953981,-93.29715300000001,10,Calhoun Isle,Lowry Hill East,1,3,01/16/2018,00:45,Olive
"1100 BLOCK VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,00:57,Olive
"2727 HENNEPIN AVE S,Minneapolis,MN",44.952834,-93.297605,10,Calhoun Isle,Lowry Hill East,1,3,01/16/2018,00:31,Olive
"620 MAIN ST SE,Minneapolis,MN",44.981598,-93.248391,3,University,Marcy Holmes,1,4,01/16/2018,02:08,Olive
"622 MAIN ST SE,Minneapolis,MN",44.981596,-93.248387,3,University,Marcy Holmes,1,4,01/16/2018,02:08,Olive
"500 BLOCK 15TH ST E,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,00:35,Olive
"2600 BLOCK HENNEPIN AVE S,Minneapolis,MN",44.955352000000005,-93.297202,7,Calhoun Isle,East Isles,1,3,01/16/2018,01:11,Olive
"4200 BLOCK BLOOMINGTON AVE S,Minneapolis,MN",44.926606,-93.252385,8,Nokomis,Northrop,1,6,01/16/2018,01:00,Olive
"3515 Hennepin Ave S ,Minneapolis,MN",44.939025,-93.29811,10,Calhoun Isle,South Uptown,1,5,01/16/2018,03:05,Olive
"628 2ND ST N ,Minneapolis,MN",44.988201000000004,-93.27533199999999,3,Central,North Loop,1,1,01/16/2018,01:33,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",44.967726,-93.281327,7,Central,Loring Park,1,3,01/16/2018,01:10,Olive
"200 BLOCK 15TH ST W,Minneapolis,MN",45.016526,-93.266014,1,Northeast,Marshall Terrace,1,2,01/16/2018,01:00,Olive
"500 BLOCK 61ST ST W,Minneapolis,MN",44.89258,-93.285976,11,Southwest,Windom,1,5,01/16/2018,03:08,Olive
"700 E 15TH ST ,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,01:52,Olive
"700 15TH ST E,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,01:53,Olive
"5700 BLOCK NICOLLET AVE S,Minneapolis,MN",44.899533,-93.27810500000001,11,Southwest,Windom,1,5,01/16/2018,03:12,Olive
"3432 BLOOMINGTON AVE S,Minneapolis,MN",44.940191,-93.252436,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,01:33,Olive
"1-99 61st W,Minneapolis,MN",44.892213,-93.2781,11,Southwest,Windom,1,5,01/16/2018,03:14,Olive
"5300 BLOCK NICOLLET AVE S,Minneapolis,MN",44.905605,-93.278098,11,Southwest,Tangletown,1,5,01/16/2018,03:14,Olive
"700 15TH ST E,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,01:40,Olive
"600 VAN WHITE BLVD,Minneapolis,MN",44.984487,-93.293873,5,Near North,Sumner - Glenwood,1,1,01/16/2018,01:57,Olive
"500 15TH ST E,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/15/2018,23:59,Olive
"1170 VAN WHITE BLVD,Minneapolis,MN",44.990346,-93.293483,5,Near North,Near - North,1,1,01/16/2018,01:57,Olive
"614 MAIN ST SE,Minneapolis,MN",44.981603,-93.248403,3,University,Marcy Holmes,1,4,01/16/2018,01:50,Olive
"600 VAN WHITE BLVD,Minneapolis,MN",44.984487,-93.293873,5,Near North,Sumner - Glenwood,1,1,01/16/2018,01:59,Olive
"20 UNIVERSITY AVE NE,Minneapolis,MN",44.988551,-93.257059,3,University,Nicollet Island - East Bank,1,2,01/16/2018,01:30,Olive
"636 MAIN ST SE,Minneapolis,MN",44.981584999999995,-93.248359,3,University,Marcy Holmes,1,4,01/16/2018,01:45,Olive
"612 MAIN ST SE,Minneapolis,MN",44.981864,-93.247877,3,University,Marcy Holmes,1,4,01/16/2018,01:50,Olive
"1820 WASHINGTON AVE N,Minneapolis,MN",44.997997,-93.281186,5,Near North,Near - North,1,1,01/16/2018,01:15,Olive
"3434 BLOOMINGTON AVE S,Minneapolis,MN",44.940129,-93.252713,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,02:51,Olive
"1170 EMERSON AVE N,Minneapolis,MN",44.992106,-93.29411800000001,5,Near North,Near - North,1,1,01/16/2018,02:20,Olive
"1170 EMERSON AVE N,Minneapolis,MN",44.992106,-93.29411800000001,5,Near North,Near - North,1,1,01/16/2018,02:25,Olive
"3436 BLOOMINGTON AVE S,Minneapolis,MN",44.940044,-93.25243499999999,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,02:52,Olive
"1400 BLOCK PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,02:25,Olive
"2419 PLYMOUTH AVE N,Minneapolis,MN",44.991338,-93.311676,5,Near North,Willard - Hay,1,1,01/16/2018,02:45,Olive
"1300 EMERSON AVE N ,Minneapolis,MN",44.992106,-93.29411800000001,5,Near North,Near - North,1,1,01/16/2018,02:11,Olive
"2417 PLYMOUTH AVE N,Minneapolis,MN",44.991339,-93.311559,5,Near North,Willard - Hay,1,1,01/16/2018,02:45,Olive
"4200 BLOCK 35TH ST E,Minneapolis,MN",44.939677,-93.21274,12,Longfellow,Howe,1,6,01/16/2018,02:15,Olive
"3200 E 35TH ST ,Minneapolis,MN",44.939564000000004,-93.22568000000001,12,Longfellow,Howe,1,6,01/16/2018,02:12,Olive
"3200 block of Hennepin Avenue South,Minneapolis,MN",44.944594,-93.298317,10,Calhoun Isle,South Uptown,1,5,01/16/2018,03:47,Olive
"204 MAIN ST SE,Minneapolis,MN",44.982489,-93.255863,3,University,Marcy Holmes,1,4,01/16/2018,02:37,Olive
"3200 31ST ST E,Minneapolis,MN",44.946846,-93.225693,2,Longfellow,Longfellow,1,6,01/16/2018,01:37,Olive
"321 MAIN ST SE,Minneapolis,MN",44.983403,-93.252759,3,University,Marcy Holmes,1,4,01/16/2018,02:25,Olive
"700 E 15TH ST ,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,02:23,Olive
"3300 block of Nicollet Avenue South,Minneapolis,MN",44.942943,-93.277924,8,Powderhorn,Lyndale,1,5,01/16/2018,03:51,Olive
"2700 HENNEPIN AVE ,Minneapolis,MN",44.953533,-93.298048,7,Calhoun Isle,East Isles,1,3,01/16/2018,02:25,Olive
"1300 BLOCK EMERSON AVE N,Minneapolis,MN",44.988993,-93.294112,5,Near North,Near - North,1,1,01/16/2018,01:43,Olive
"1170 EMERSON AVE N ,Minneapolis,MN",44.992106,-93.29411800000001,5,Near North,Near - North,1,1,01/16/2018,02:22,Olive
"700 BLOCK 15TH ST E,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,01:40,Olive
"3200 35TH ST E,Minneapolis,MN",44.939564000000004,-93.22568000000001,12,Longfellow,Howe,1,6,01/16/2018,02:21,Olive
"700 BLOCK 15TH ST E,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,01:49,Olive
"2600 BLOCK HENNEPIN AVE S,Minneapolis,MN",44.955352000000005,-93.297202,7,Calhoun Isle,East Isles,1,3,01/16/2018,01:05,Olive
"2600 BLOCK HENNEPIN AVE S,Minneapolis,MN",44.955352000000005,-93.297202,7,Calhoun Isle,East Isles,1,3,01/16/2018,01:15,Olive
"1100 BLOCK VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,01:35,Olive
"1500 E 31ST ST,Minneapolis,MN",44.946555,-93.253715,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,02:17,Olive
"2200 E 31ST ST,Minneapolis,MN",44.946557,-93.240612,9,Powderhorn,Corcoran,1,6,01/16/2018,02:13,Olive
"2720 HENNEPIN AVE S,Minneapolis,MN",44.953164,-93.298214,7,Calhoun Isle,East Isles,1,3,01/16/2018,02:10,Olive
"2700 BLOCK HENNEPIN AVE S,Minneapolis,MN",44.953562,-93.29803100000001,7,Calhoun Isle,East Isles,1,3,01/16/2018,02:00,Olive
"619 2ND ST N,Minneapolis,MN",44.987801,-93.275235,3,Central,North Loop,1,1,01/16/2018,02:00,Olive
"4500 BLOCK Nicollet ave,Minneapolis,MN",44.919647,-93.27795400000001,8,Southwest,King Field,1,5,01/16/2018,04:20,Olive
"5600 BLOCK NICOLLET AVE S,Minneapolis,MN",44.901286,-93.278094,11,Southwest,Windom,1,5,01/16/2018,04:21,Olive
"2100 BLOCK EMERSON AVE N,Minneapolis,MN",44.988993,-93.294112,5,Near North,Near - North,1,1,01/16/2018,02:00,Olive
"1500 BLOCK 2ND AVE N,Minneapolis,MN",44.978995,-93.299453,5,Near North,Harrison,1,3,01/16/2018,02:30,Olive
"500 W 61ST ST,Minneapolis,MN",44.89258,-93.285976,11,Southwest,Windom,1,5,01/16/2018,04:26,Olive
"1800 BLOCK EMERSON AVE N,Minneapolis,MN",44.997955,-93.293696,5,Near North,Near - North,1,1,01/16/2018,02:24,Olive
"700 E 15TH ST ,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,02:16,Olive
"3539 Hennepin Ave S,Minneapolis,MN",44.938266999999996,-93.298114,10,Calhoun Isle,South Uptown,1,5,01/16/2018,04:28,Olive
"1400 BLOCK PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,02:38,Olive
"5200 BLOOMINGTON AVE S,Minneapolis,MN",44.90875,-93.25276,11,Nokomis,Hale,1,6,01/16/2018,02:17,Olive
