Location,Latitude,Longitude,Ward,Neighborhood,Community,Tow_Zone,Day,Emergency,Date,Time
1212 TALMAGE AVE SE,44.989669,-93.234184,2,Como,University,4,3,Diamond Lake,03/12/2019,00:00
1222 TALMAGE AVE SE,44.989676,-93.233976,2,Como,University,4,3,Diamond Lake,03/12/2019,00:00
1224 TALMAGE AVE SE,44.989672,-93.233804,2,Como,University,4,3,Diamond Lake,03/12/2019,00:00
1226 TALMAGE AVE SE,44.989672999999996,-93.233729,2,Como,University,4,3,Diamond Lake,03/12/2019,00:00
625 49TH ST E,44.914305999999996,-93.26671999999999,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
349 53RD ST E,44.907433000000005,-93.270397,11,Page,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
109 54TH ST E,44.905193,-93.276484,11,Tangletown,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4605 COLUMBUS AVE S,44.91945,-93.263864,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4637 5TH AVE S,44.918693,-93.26894899999999,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4553 5TH AVE S,44.920032,-93.268927,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
3611 CLINTON AVE S,44.937343,-93.271488,8,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3615 CLINTON AVE S,44.93719,-93.27144399999999,8,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3617 CLINTON AVE S,44.937179,-93.271462,8,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3645 CLINTON AVE S,44.93633,-93.271464,8,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3651 CLINTON AVE S,44.936231,-93.271438,8,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3705 CLINTON AVE S,44.935746,-93.27144200000001,8,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3815 CLINTON AVE S,44.933587,-93.27142099999999,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3817 CLINTON AVE S,44.933518,-93.271399,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3821 CLINTON AVE S,44.933467,-93.27142099999999,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3829 CLINTON AVE S,44.933122,-93.271406,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3833 CLINTON AVE S,44.93308,-93.271422,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3847 CLINTON AVE S,44.932624,-93.27143199999999,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3849 CLINTON AVE S,44.932543,-93.271416,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3851 CLINTON AVE S,44.932491999999996,-93.271424,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3853 CLINTON AVE S,44.932495,-93.271436,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3927 CLINTON AVE S,44.931575,-93.271406,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3941 CLINTON AVE S,44.931185,-93.271406,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3937 CLINTON AVE S,44.931259000000004,-93.27142099999999,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3945 CLINTON AVE S,44.931005,-93.27144799999999,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4017 CLINTON AVE S,44.929965,-93.27141999999999,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4011 CLINTON AVE S,44.930064,-93.27141800000001,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4009 CLINTON AVE S,44.930143,-93.271424,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4007 CLINTON AVE S,44.930214,-93.271437,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4005 CLINTON AVE S,44.930377,-93.271422,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4003 CLINTON AVE S,44.93042,-93.271429,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4029 CLINTON AVE S,44.929637,-93.271437,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4037 CLINTON AVE S,44.929367,-93.271443,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4035 CLINTON AVE S,44.929441,-93.271435,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4043 CLINTON AVE S,44.929138,-93.271413,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4045 CLINTON AVE S,44.929059,-93.271429,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4111 CLINTON AVE S,44.928354,-93.271427,8,Bryant,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
4413 CLINTON AVE S,44.922746000000004,-93.271486,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4421 CLINTON AVE S,44.922595,-93.271496,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4425 CLINTON AVE S,44.922482,-93.2715,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4537 CLINTON AVE S,44.920376,-93.271511,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4541 CLINTON AVE S,44.920275,-93.271512,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4545 CLINTON AVE S,44.920204,-93.271524,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4653 CLINTON AVE S,44.919892,-93.27153299999999,8,Regina,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4705 CLINTON AVE S,44.917664,-93.271549,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4737 CLINTON AVE S,44.91669,-93.27158,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4805 CLINTON AVE S,44.915832,-93.271578,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4849 CLINTON AVE S,44.914597,-93.271598,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4929 CLINTON AVE S,44.913278999999996,-93.271591,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4933 CLINTON AVE S,44.913162,-93.271608,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4949 CLINTON AVE S,44.912728,-93.271619,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4951 CLINTON AVE S,44.912642,-93.271606,8,Field,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
4103 WENTWORTH AVE S,44.928432,-93.280488,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4211 WENTWORTH AVE S,44.92638,-93.280513,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4213 WENTWORTH AVE S,44.926322,-93.280523,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4235 WENTWORTH AVE S,44.925754,-93.280506,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4329 WENTWORTH AVE S,44.924125,-93.280501,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4339 WENTWORTH AVE S,44.923854,-93.280505,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4343 WENTWORTH AVE S,44.923790000000004,-93.280523,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
4443 WENTWORTH AVE S,44.922024,-93.28054,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
3817 ELLIOT AVE,44.933508,-93.261218,8,Bancroft,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3829 ELLIOT AVE,44.933124,-93.261224,8,Bancroft,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3841 ELLIOT AVE,44.932731,-93.261178,8,Bancroft,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
4241 ELLIOT AVE,44.925627,-93.261255,8,Northrop,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
4245 ELLIOT AVE,44.925568,-93.261256,8,Northrop,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
4351 10TH AVE S,44.923517,-93.260047,11,Northrop,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
4333 10TH AVE S,44.924013,-93.260021,11,Northrop,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
4307 10TH AVE S,44.924805,-93.260076,11,Northrop,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
3913 10TH AVE S,44.932037,-93.259964,8,Bancroft,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3813 10TH AVE S,44.933785,-93.259938,8,Bancroft,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3635 10TH AVE S,44.936656,-93.260012,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3633 10TH AVE S,44.936799,-93.259988,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3617 10TH AVE S,44.937169,-93.260044,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3615 10TH AVE S,44.937362,-93.260013,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
809 34TH ST E,44.941357,-93.262072,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
807 34TH ST E,44.941375,-93.262155,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
801 34TH ST E,44.941338,-93.262425,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3317 10TH AVE S,44.942721,-93.260088,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3319 10TH AVE S,44.942644,-93.26012,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3321 10TH AVE S,44.942648999999996,-93.260112,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3323 10TH AVE S,44.942603000000005,-93.260094,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3325 10TH AVE S,44.942370000000004,-93.260059,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3325 10TH AVE S,44.94233,-93.260053,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3327 10TH AVE S,44.942306,-93.260058,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3329 ELLIOT AVE,44.942259,-93.261354,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3327 ELLIOT AVE,44.942417999999996,-93.26138,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3325 ELLIOT AVE,44.942429,-93.261368,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3323 ELLIOT AVE,44.942469,-93.261349,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3317 ELLIOT AVE,44.942589,-93.26136,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3315 ELLIOT AVE,44.942741,-93.26135699999999,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3311 ELLIOT AVE,44.942797,-93.261353,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3309 ELLIOT AVE,44.942868,-93.261339,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
3305 ELLIOT AVE,44.942882,-93.26135,9,Powderhorn Park,Powderhorn,6,3,Diamond Lake,03/12/2019,00:00
725 17TH ST E,44.966134000000004,-93.264189,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
733 17TH ST E,44.966464,-93.263478,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
741 17TH ST E,44.966621999999994,-93.26337099999999,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
745 17TH ST E,44.966567,-93.26321899999999,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
901 17TH ST E,44.966929,-93.260992,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
903 17TH ST E,44.966865000000006,-93.260974,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
905 17TH ST E,44.966604,-93.260568,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
907 17TH ST E,44.966584999999995,-93.26055,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
909 17TH ST E,44.966557,-93.260077,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
911 17TH ST E,44.966542,-93.26039300000001,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
913 17TH ST E,44.966553000000005,-93.26033699999999,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
915 17TH ST E,44.96653,-93.26035999999999,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
917 17TH ST E,44.966561999999996,-93.26024,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
919 17TH ST E,44.966675,-93.259703,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
921 17TH ST E,44.966613,-93.260171,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
925 17TH ST E,44.966781,-93.25972900000001,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
909 13TH AVE S,44.967425,-93.256884,6,Elliot Park,Central,3,3,Diamond Lake,03/12/2019,00:00
2847 COLFAX AVE S,44.9507,-93.29193599999999,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2911 COLFAX AVE S,44.949495,-93.291924,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2915 COLFAX AVE S,44.949248,-93.29193000000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2931 COLFAX AVE S,44.948793,-93.291925,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2421 EMERSON AVE S,44.958255,-93.29440600000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2433 EMERSON AVE S,44.957715,-93.294428,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2439 EMERSON AVE S,44.95755,-93.294414,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2443 EMERSON AVE S,44.957446999999995,-93.29438499999999,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2445 EMERSON AVE S,44.957414,-93.294394,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2539 EMERSON AVE S,44.956157,-93.294398,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2541 EMERSON AVE S,44.956069,-93.29440100000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2607 EMERSON AVE S,44.955262,-93.294437,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2619 EMERSON AVE S,44.954716,-93.29438499999999,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2641 EMERSON AVE S,44.954068,-93.29444000000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2645 EMERSON AVE S,44.953879,-93.294435,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2701 EMERSON AVE S,44.953594,-93.294403,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2713 EMERSON AVE S,44.953296,-93.294398,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2721 EMERSON AVE S,44.952988,-93.29440699999999,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2733 EMERSON AVE S,44.952672,-93.29440699999999,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2747 EMERSON AVE S,44.952439,-93.294423,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2713 FREMONT AVE S,44.955162,-93.295664,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2711 FREMONT AVE S,44.955191,-93.295659,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2709 FREMONT AVE S,44.955237,-93.295659,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2607 FREMONT AVE S,44.955290000000005,-93.295694,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2605 FREMONT AVE S,44.955339,-93.295691,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2619 FREMONT AVE S,44.954772999999996,-93.295688,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2621 FREMONT AVE S,44.954668,-93.29571700000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2627 FREMONT AVE S,44.954563,-93.295705,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2629 FREMONT AVE S,44.954478,-93.295702,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2639 FREMONT AVE S,44.954245,-93.295672,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2637 FREMONT AVE S,44.954295,-93.295681,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2647 FREMONT AVE S,44.953962,-93.295734,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2651 FREMONT AVE S,44.95391,-93.295662,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2701 FREMONT AVE S,44.953593,-93.29567800000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2703 FREMONT AVE S,44.953552,-93.295676,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2707 FREMONT AVE S,44.953449,-93.295675,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2709 FREMONT AVE S,44.953445,-93.295682,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2717 FREMONT AVE S,44.953165999999996,-93.295674,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2727 FREMONT AVE S,44.952917,-93.295671,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2737 FREMONT AVE S,44.952619,-93.295682,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2739 FREMONT AVE S,44.952579,-93.295683,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2741 FREMONT AVE S,44.952428999999995,-93.295701,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2747 FREMONT AVE S,44.952287,-93.295676,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2757 FREMONT AVE S,44.952117,-93.295683,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2759 FREMONT AVE S,44.95218,-93.29567800000001,10,Lowry Hill East,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2937 GARFIELD AVE S,44.949201,-93.28668499999999,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2941 GARFIELD AVE S,44.94937,-93.287166,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2943 GARFIELD AVE S,44.949137,-93.287367,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2945 GARFIELD AVE S,44.94952,-93.287195,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2953 GARFIELD AVE S,44.948975,-93.287289,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2955 GARFIELD AVE S,44.948529,-93.286621,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2743 GARFIELD AVE S,44.952303,-93.28675799999999,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2741 GARFIELD AVE S,44.952521000000004,-93.286765,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2611 GARFIELD AVE S,44.955165,-93.286824,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2609 GARFIELD AVE S,44.955224,-93.28687099999999,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2607 GARFIELD AVE S,44.955214,-93.28684100000001,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2605 GARFIELD AVE S,44.955209,-93.286806,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2812 HUMBOLDT AVE S,44.951934,-93.30037,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2804 HUMBOLDT AVE S,44.952098,-93.300016,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2718 HUMBOLDT AVE S,44.952806,-93.29968199999999,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2732 HUMBOLDT AVE S,44.952663,-93.299522,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2736 HUMBOLDT AVE S,44.952651,-93.299751,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2408 GIRARD AVE S,44.958863,-93.297045,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1716 FREMONT AVE S,44.966719,-93.295763,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2306 FREMONT AVE S,44.959962,-93.295598,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2308 FREMONT AVE S,44.959629,-93.295604,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2312 FREMONT AVE S,44.959506,-93.29588199999999,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2318 FREMONT AVE S,44.959483,-93.295884,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2320 FREMONT AVE S,44.95942,-93.29585300000001,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2324 FREMONT AVE S,44.959162,-93.295664,7,East Isles,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2124 EMERSON AVE S,44.962878,-93.294393,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1942 EMERSON AVE S,44.963114000000004,-93.29439,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1934 EMERSON AVE S,44.963319,-93.294555,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1930 EMERSON AVE S,44.963319,-93.294555,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1926 EMERSON AVE S,44.96386,-93.29432,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1910 EMERSON AVE S,44.964034999999996,-93.294314,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1908 EMERSON AVE S,44.963998,-93.294309,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1902 EMERSON AVE S,44.964211,-93.294263,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1904 EMERSON AVE S,44.964197,-93.294327,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1922 COLFAX AVE S,44.963138,-93.291854,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1804 COLFAX AVE S,44.96604,-93.2917,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1776 COLFAX AVE S,44.96597,-93.291758,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1768 COLFAX AVE S,44.966293,-93.291618,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1822 BRYANT AVE S,44.964876000000004,-93.290598,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1816 BRYANT AVE S,44.965032,-93.290492,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1812 BRYANT AVE S,44.965039000000004,-93.290518,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1810 BRYANT AVE S,44.965022,-93.29053,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1806 BRYANT AVE S,44.965206,-93.290525,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1804 BRYANT AVE S,44.965264000000005,-93.29055699999999,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1802 BRYANT AVE S,44.96526,-93.290534,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1788 BRYANT AVE S,44.965586,-93.290533,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1778 BRYANT AVE S,44.965792,-93.29044,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
1764 BRYANT AVE S,44.96629,-93.290485,7,Lowry Hill,Calhoun Isle,3,2,Diamond Lake,03/11/2019,00:00
2631 RUSSELL AVE N,44.998308,-93.30247299999999,5,Willard - Hay,Near North,1,3,Diamond Lake,03/12/2019,00:00
2657 RUSSELL AVE N,44.998308,-93.30247299999999,5,Willard - Hay,Near North,1,3,Diamond Lake,03/12/2019,00:00
2657 RUSSELL AVE N,44.998308,-93.30247299999999,5,Willard - Hay,Near North,1,3,Diamond Lake,03/12/2019,00:00
2659 RUSSELL AVE N,44.998308,-93.30247299999999,5,Willard - Hay,Near North,1,3,Diamond Lake,03/12/2019,00:00
2715 RUSSELL AVE N,44.998308,-93.30247299999999,5,Willard - Hay,Near North,1,3,Diamond Lake,03/12/2019,00:00
2931 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
2949 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
3125 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
3125 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
3127 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
3305 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
3351 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
3353 RUSSELL AVE N,45.012892,-93.312697,4,Jordan,Near North,1,3,Diamond Lake,03/12/2019,00:00
