Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Emergency,Day,Date,Time
1049 27TH AVE SE,44.98956,-93.215252,1,University,Como,4,Howe,3,04/17/2018,09:39
3449 5TH AVE S,44.939003,-93.26895400000001,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:40
3455 DUPONT AVE S,44.93969,-93.293283,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:40
813 33RD ST W,44.9429,-93.290148,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:40
3105 18TH AVE S,44.946053000000006,-93.248752,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:40
2025 2ND AVE S,44.961890999999994,-93.274004,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:40
1927 STEVENS AVE S,44.962914000000005,-93.275324,6,Central,Steven's Square - Loring Heights,3,Howe,3,04/17/2018,09:40
951 18TH AVE SE,44.986174,-93.226951,2,University,Como,4,Howe,3,04/17/2018,09:40
615 7TH ST SE,44.988596,-93.246287,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:40
421 7TH ST SE,44.988631,-93.24644,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:40
2133 IRVING AVE N,45.001290999999995,-93.298631,5,Near North,Jordan,1,Howe,3,04/17/2018,09:40
2935 BRYANT AVE N,45.010611,-93.29053499999999,5,Near North,Hawthorne,1,Howe,3,04/17/2018,09:40
639 51ST AVE N,45.047602000000005,-93.289676,4,Camden,Lind - Bohanon,1,Howe,3,04/17/2018,09:40
3453 DUPONT AVE S,44.939724,-93.293296,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:41
2013 2ND AVE S,44.962037,-93.274033,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:41
2931 BRYANT AVE N,45.010611,-93.29053499999999,5,Near North,Hawthorne,1,Howe,3,04/17/2018,09:41
3443 HAYES ST NE,45.031615,-93.234721,1,Northeast,Waite Park,2,Howe,3,04/17/2018,09:41
1237 SHERIDAN AVE N,44.991215000000004,-93.312391,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,09:41
2303 STEVENS AVE S,44.960729,-93.27553499999999,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:42
2011 2ND AVE S,44.962194000000004,-93.274097,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:42
529 14TH ST E,44.968934999999995,-93.2688,7,Central,Elliot Park,3,Howe,3,04/17/2018,09:42
2529 IRVING AVE N,45.005584000000006,-93.299413,5,Near North,Jordan,1,Howe,3,04/17/2018,09:42
3441 DUPONT AVE S,44.939964,-93.293306,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:43
3439 DUPONT AVE S,44.939978,-93.293307,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:43
3303 18TH AVE S,44.942985,-93.248867,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:43
2213 STEVENS AVE S,44.960578000000005,-93.276053,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:43
513 14TH ST E,44.968922,-93.268165,7,Central,Elliot Park,3,Howe,3,04/17/2018,09:43
1015 6TH ST SE,44.984454,-93.239026,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:43
409 7TH ST SE,44.988831,-93.246864,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:43
3449 HAYES ST NE,45.031702,-93.234762,1,Northeast,Waite Park,2,Howe,3,04/17/2018,09:43
3343 5TH AVE S,44.941891,-93.26897,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:44
3309 18TH AVE S,44.942424,-93.248826,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:44
525 14TH ST E,44.968934000000004,-93.26865600000001,7,Central,Elliot Park,3,Howe,3,04/17/2018,09:44
527 14TH ST E,44.968954,-93.268697,7,Central,Elliot Park,3,Howe,3,04/17/2018,09:44
807 WEEKS AVE SE,44.985104,-93.214333,2,University,Como,4,Howe,3,04/17/2018,09:44
1341 SHERIDAN AVE N,44.992863,-93.312335,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,09:44
3323 5TH AVE S,44.942223999999996,-93.268884,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:45
1917 2ND AVE S,44.963307,-93.274016,6,Central,Steven's Square - Loring Heights,3,Howe,3,04/17/2018,09:45
507 14TH ST E,44.968959999999996,-93.26848000000001,7,Central,Elliot Park,3,Howe,3,04/17/2018,09:45
925 6TH AVE SE,44.984776000000004,-93.239855,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:45
1605 GIRARD AVE N,44.995484999999995,-93.297167,5,Near North,Near - North,1,Howe,3,04/17/2018,09:45
403 ELLIOT AVE,44.941333,-93.26134300000001,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:46
2211 STEVENS AVE S,44.960954,-93.275375,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:46
925 6TH ST SE,44.984898,-93.240161,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:46
947 18TH AVE SE,44.986028999999995,-93.226949,2,University,Como,4,Howe,3,04/17/2018,09:46
329 7TH ST SE,44.989164,-93.247715,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:46
325 7TH ST SE,44.989282,-93.247934,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:46
721 TYLER ST NE,44.997516,-93.246073,3,Northeast,Beltrami,2,Howe,3,04/17/2018,09:46
1345 SHERIDAN AVE N,44.992974,-93.312308,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,09:46
3519 SNELLING AVE S,44.938736,-93.22894000000001,12,Longfellow,Howe,6,Howe,3,04/17/2018,09:47
3415 DUPONT AVE S,44.940636,-93.293305,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:47
3405 ELLIOT AVE,44.94113,-93.261411,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:47
3407 ELLIOT AVE,44.94135,-93.26109,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:47
2529 COLUMBUS AVE S,44.955921999999994,-93.26369100000001,6,Phillips,Phillips West,3,Howe,3,04/17/2018,09:47
607 14TH ST E,44.968932,-93.26729499999999,7,Central,Elliot Park,3,Howe,3,04/17/2018,09:47
327 7TH ST SE,44.989189,-93.24774599999999,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:47
3301 BRYANT AVE N,45.015274,-93.290646,4,Camden,McKinley,1,Howe,3,04/17/2018,09:47
3531 18TH AVE S,44.938584000000006,-93.24860100000001,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:48
3413 DUPONT AVE S,44.94066,-93.293313,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:48
3409 ELLIOT AVE,44.941271,-93.261418,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:48
119 33RD ST W,44.94298,-93.280323,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,09:48
3131 5TH AVE S,44.945661,-93.269039,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:48
1621 GIRARD AVE N,44.996190999999996,-93.297146,5,Near North,Near - North,1,Howe,3,04/17/2018,09:48
3415 IRVING AVE N,45.017109999999995,-93.299322,4,Camden,Folwell,1,Howe,3,04/17/2018,09:48
115 33RD ST W,44.942983,-93.280315,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,09:49
3115 5TH AVE S,44.945908,-93.268924,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:49
3119 22ND AVE S,44.946086,-93.24061,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,09:49
545 9 1/2 AVE SE,44.984808,-93.240477,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:49
605 9 1/2 AVE SE,44.984974,-93.240473,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:49
3327 BRYANT AVE N,45.015673,-93.290577,4,Camden,McKinley,1,Howe,3,04/17/2018,09:49
3423 IRVING AVE N,45.017375,-93.299348,4,Camden,Folwell,1,Howe,3,04/17/2018,09:49
3655 SNELLING AVE S,44.936256,-93.227113,12,Longfellow,Howe,6,Howe,3,04/17/2018,09:50
3625 18TH AVE S,44.937086,-93.248586,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:50
3405 DUPONT AVE S,44.941022,-93.293286,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:50
609 9 1/2 AVE SE,44.985067,-93.240662,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:50
325 7TH ST SE,44.988359,-93.248848,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:50
3709 18TH AVE S,44.935589,-93.248597,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:51
3403 DUPONT AVE S,44.941029,-93.293287,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:51
3117 22ND AVE S,44.946044,-93.24053,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,09:51
2207 STEVENS AVE S,44.96111,-93.275405,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:51
611 9 1/2 AVE SE,44.985611999999996,-93.239931,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:51
3419 BRYANT AVE N,45.017523,-93.290534,4,Camden,McKinley,1,Howe,3,04/17/2018,09:51
3451 IRVING AVE N,45.018184000000005,-93.299384,4,Camden,Folwell,1,Howe,3,04/17/2018,09:51
3713 18TH AVE S,44.935413,-93.248527,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:52
31 33RD ST W,44.942907,-93.27931099999999,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,09:52
3115 22ND AVE S,44.946054,-93.240578,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,09:52
3101 5TH AVE S,44.946242,-93.269163,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:52
1727 2ND AVE S,44.965404,-93.274054,6,Central,Steven's Square - Loring Heights,3,Howe,3,04/17/2018,09:52
1643 SHERIDAN AVE N,44.9964,-93.312349,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,09:52
4005 ALDRICH AVE S,44.930468,-93.28954300000001,10,Southwest,East Harriet,5,Howe,3,04/17/2018,09:53
3729 SNELLING AVE S,44.935019,-93.226217,12,Longfellow,Howe,6,Howe,3,04/17/2018,09:53
3423 ELLIOT AVE,44.94055,-93.26114,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:53
3113 22ND AVE S,44.946144,-93.240719,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,09:53
1713 ROLLINS AVE SE,44.985395000000004,-93.22783199999999,2,University,Como,4,Howe,3,04/17/2018,09:53
3547 IRVING AVE N,45.019821,-93.299336,4,Camden,Folwell,1,Howe,3,04/17/2018,09:53
3955 ALDRICH AVE S,44.93051,-93.289569,10,Southwest,East Harriet,5,Howe,3,04/17/2018,09:54
3733 18TH AVE S,44.934912,-93.24851,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,09:54
13 33RD ST W,44.942923,-93.278627,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,09:54
3107 22ND AVE S,44.946265000000004,-93.240542,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,09:54
3045 5TH AVE S,44.946701000000004,-93.269205,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:54
3919 BRYANT AVE N,45.026185,-93.290687,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,09:54
3923 BRYANT AVE N,45.026459,-93.290678,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,09:54
1019 52ND AVE N,45.049384,-93.293904,4,Camden,Lind - Bohanon,1,Howe,3,04/17/2018,09:54
3731 SNELLING AVE S,44.935043,-93.226225,12,Longfellow,Howe,6,Howe,3,04/17/2018,09:55
11 33RD ST W,44.94294,-93.278572,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,09:55
3225 DUPONT AVE S,44.943841,-93.293233,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,09:55
3043 5TH AVE S,44.946896,-93.269032,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:55
2705 COLUMBUS AVE S,44.953893,-93.263491,6,Phillips,Phillips West,3,Howe,3,04/17/2018,09:55
511 9 1/2 AVE SE,44.984125,-93.24168,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:55
1703 ROLLINS AVE SE,44.985396,-93.228272,2,University,Como,4,Howe,3,04/17/2018,09:55
503 6TH ST SE,44.987381,-93.246364,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:55
3507 JAMES AVE N,45.018807,-93.300668,4,Camden,Folwell,1,Howe,3,04/17/2018,09:55
1015 52ND AVE N,45.049375,-93.29392800000001,4,Camden,Lind - Bohanon,1,Howe,3,04/17/2018,09:55
4339 OAKLAND AVE S,44.923925,-93.26631,8,Nokomis,Regina,5,Howe,3,04/17/2018,09:56
3945 ALDRICH AVE S,44.930812,-93.289686,10,Southwest,East Harriet,5,Howe,3,04/17/2018,09:56
3105 22ND AVE S,44.94625,-93.24040699999999,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,09:56
3041 5TH AVE S,44.946917,-93.268941,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:56
2011 PILLSBURY AVE,44.962247,-93.28138299999999,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:56
623 16TH ST E,44.96716,-93.266458,6,Central,Elliot Park,3,Howe,3,04/17/2018,09:56
507 9 1/2 AVE SE,44.983946,-93.241139,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:56
4051 BRYANT AVE N,45.029272999999996,-93.290509,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,09:56
1015 52ND AVE N,45.049374,-93.29393,4,Camden,Lind - Bohanon,1,Howe,3,04/17/2018,09:56
4333 OAKLAND AVE S,44.923991,-93.266328,8,Nokomis,Regina,5,Howe,3,04/17/2018,09:57
2305 MOUNT VIEW AVE,44.972004,-93.309905,7,Calhoun Isle,Bryn - Mawr,3,Howe,3,04/17/2018,09:57
605 6TH ST SE,44.986812,-93.244989,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:57
2505 TALMAGE AVE SE,44.989769,-93.217275,1,University,Como,4,Howe,3,04/17/2018,09:57
1341 IRVING AVE N,44.992964,-93.299513,5,Near North,Near - North,1,Howe,3,04/17/2018,09:57
3243 JAMES AVE N,45.014646,-93.300713,4,Camden,Folwell,1,Howe,3,04/17/2018,09:57
2107 SHERIDAN AVE N,45.000886,-93.312315,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,09:57
3029 5TH AVE S,44.947407,-93.26913499999999,9,Powderhorn,Central,5,Howe,3,04/17/2018,09:58
2805 COLUMBUS AVE S,44.951883,-93.263918,6,Phillips,Phillips West,3,Howe,3,04/17/2018,09:58
2013 PILLSBURY AVE,44.961977000000005,-93.28144,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,09:58
931 17TH AVE SE,44.985565,-93.228585,2,University,Como,4,Howe,3,04/17/2018,09:58
3239 JAMES AVE N,45.014486,-93.30069499999999,4,Camden,Folwell,1,Howe,3,04/17/2018,09:58
4109 BRYANT AVE N,45.029361,-93.290678,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,09:58
1205 7TH ST SE,44.984646999999995,-93.235843,3,University,Marcy Holmes,4,Howe,3,04/17/2018,09:59
937 17TH AVE SE,44.985857,-93.228587,2,University,Como,4,Howe,3,04/17/2018,09:59
1729 JACKSON ST NE,45.008743,-93.249136,1,Northeast,Holland,2,Howe,3,04/17/2018,09:59
4115 BRYANT AVE N,45.030260999999996,-93.290824,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,09:59
2123 SHERIDAN AVE N,45.001359,-93.31233,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,09:59
5755 27TH AVE S,44.898176,-93.23366700000001,11,Nokomis,Wenonah,6,Howe,3,04/17/2018,10:00
4609 18TH AVE S,44.919412,-93.248551,11,Nokomis,Northrop,6,Howe,3,04/17/2018,10:01
3129 22ND AVE S,44.945888000000004,-93.240526,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,10:01
3027 5TH AVE S,44.947284,-93.26884,9,Powderhorn,Central,5,Howe,3,04/17/2018,10:01
2825 PLEASANT AVE,44.950996999999994,-93.282985,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:01
1923 CLINTON AVE S,44.963091999999996,-93.271472,6,Central,Steven's Square - Loring Heights,3,Howe,3,04/17/2018,10:01
1337 IRVING AVE N,44.992875,-93.299429,5,Near North,Near - North,1,Howe,3,04/17/2018,10:01
2207 JACKSON ST NE,45.010267999999996,-93.249134,1,Northeast,Holland,2,Howe,3,04/17/2018,10:01
4139 BRYANT AVE N,45.031126,-93.290702,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,10:01
2207 SHERIDAN AVE N,45.001796999999996,-93.31232,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,10:01
2319 36TH ST E,44.937509999999996,-93.23781899999999,12,Powderhorn,Standish,6,Howe,3,04/17/2018,10:01
4611 18TH AVE S,44.919346000000004,-93.248436,11,Nokomis,Northrop,6,Howe,3,04/17/2018,10:02
3633 ALDRICH AVE S,44.936609999999995,-93.289461,10,Southwest,East Harriet,5,Howe,3,04/17/2018,10:02
3629 ELLIOT AVE,44.936682,-93.26123199999999,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,10:02
3127 22ND AVE S,44.945758000000005,-93.240542,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,10:02
3021 5TH AVE S,44.947359999999996,-93.26907,9,Powderhorn,Central,5,Howe,3,04/17/2018,10:02
815 15TH ST E,44.968004,-93.261691,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:02
1509 8TH AVE SE,44.983748,-93.230575,2,University,University of Minnesota,4,Howe,3,04/17/2018,10:02
955 17TH AVE SE,44.986289,-93.228613,2,University,Como,4,Howe,3,04/17/2018,10:02
1805 TALMAGE AVE SE,44.989686999999996,-93.226084,1,University,Como,4,Howe,3,04/17/2018,10:02
2633 SHERIDAN AVE N,45.007098,-93.31208199999999,4,Near North,Jordan,1,Howe,3,04/17/2018,10:02
2817 JAMES AVE N,45.009199,-93.300714,5,Near North,Jordan,1,Howe,3,04/17/2018,10:02
3419 GARFIELD ST NE,45.030628,-93.23201999999999,1,Northeast,Waite Park,2,Howe,3,04/17/2018,10:02
3633 ELLIOT AVE,44.936483,-93.261234,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,10:03
3123 22ND AVE S,44.94587,-93.240548,9,Powderhorn,Corcoran,6,Howe,3,04/17/2018,10:03
3017 5TH AVE S,44.947686,-93.268877,9,Powderhorn,Central,5,Howe,3,04/17/2018,10:03
821 15TH ST E,44.968014000000004,-93.261597,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:03
4219 BRYANT AVE N,45.032225,-93.290881,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,10:03
2725 PLEASANT AVE,44.952855,-93.282825,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:04
1321 IRVING AVE N,44.991913000000004,-93.29916800000001,5,Near North,Near - North,1,Howe,3,04/17/2018,10:04
2517 JACKSON ST NE,45.013694,-93.249077,1,Northeast,Holland,2,Howe,3,04/17/2018,10:04
1803 52ND AVE N,45.049357,-93.303186,4,Camden,Shingle Creek,1,Howe,3,04/17/2018,10:04
5701 27TH AVE S,44.899692,-93.233646,11,Nokomis,Wenonah,6,Howe,3,04/17/2018,10:05
2205 PILLSBURY AVE,44.960784000000004,-93.281041,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:05
1921 CLINTON AVE S,44.963177,-93.271475,6,Central,Steven's Square - Loring Heights,3,Howe,3,04/17/2018,10:05
829 15TH ST E,44.968014000000004,-93.261548,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:05
629 MORGAN AVE N,44.971631,-93.305755,7,Calhoun Isle,Bryn - Mawr,3,Howe,3,04/17/2018,10:05
2801 JAMES AVE N,45.008803,-93.300663,5,Near North,Jordan,1,Howe,3,04/17/2018,10:05
2519 JACKSON ST NE,45.013828000000004,-93.249103,1,Northeast,Holland,2,Howe,3,04/17/2018,10:05
3749 ELLIOT AVE,44.934646,-93.261267,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,10:06
3013 5TH AVE S,44.948033,-93.269025,9,Powderhorn,Central,5,Howe,3,04/17/2018,10:06
2649 HUMBOLDT AVE S,44.953829999999996,-93.298886,7,Calhoun Isle,East Isles,3,Howe,3,04/17/2018,10:06
2633 PLEASANT AVE,44.954376,-93.282873,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:06
2215 PILLSBURY AVE,44.960478,-93.28144,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:06
901 15TH ST E,44.968011,-93.26096700000001,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:06
839 18TH AVE SE,44.984531,-93.226947,2,University,Como,4,Howe,3,04/17/2018,10:06
2451 ELLIOT AVE,44.957879,-93.26090699999999,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,10:06
4139 COLFAX AVE S,44.927564000000004,-93.292102,10,Southwest,East Harriet,5,Howe,3,04/17/2018,10:07
903 15TH ST E,44.967998,-93.260801,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:07
907 15TH ST E,44.96802,-93.260612,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:07
2521 JACKSON ST NE,45.013921,-93.249098,1,Northeast,Holland,2,Howe,3,04/17/2018,10:07
3741 OAKLAND AVE S,44.934539,-93.266263,8,Powderhorn,Central,5,Howe,3,04/17/2018,10:08
2311 PILLSBURY AVE,44.959939,-93.281123,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:08
511 9TH AVE SE,44.984839,-93.242272,3,University,Marcy Holmes,4,Howe,3,04/17/2018,10:08
2905 SHERIDAN AVE N,45.010099,-93.31206800000001,4,Near North,Jordan,1,Howe,3,04/17/2018,10:08
2441 ELLIOT AVE,44.957879,-93.26090699999999,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,10:08
5215 27TH AVE S,44.908413,-93.233512,11,Nokomis,Keewaydin,6,Howe,3,04/17/2018,10:09
4041 ELLIOT AVE,44.929479,-93.26134,8,Powderhorn,Bancroft,6,Howe,3,04/17/2018,10:09
2627 HUMBOLDT AVE S,44.954685,-93.298749,7,Calhoun Isle,East Isles,3,Howe,3,04/17/2018,10:09
853 18TH AVE SE,44.985136,-93.226969,2,University,Como,4,Howe,3,04/17/2018,10:09
1083 17TH AVE SE,44.99028,-93.228234,1,University,Como,4,Howe,3,04/17/2018,10:09
2911 SHERIDAN AVE N,45.010253999999996,-93.31201999999999,4,Near North,Jordan,1,Howe,3,04/17/2018,10:09
3305 ARTHUR ST NE,45.027972,-93.23194000000001,1,Northeast,Waite Park,2,Howe,3,04/17/2018,10:09
1907 52ND AVE N,45.049369,-93.304664,4,Camden,Shingle Creek,1,Howe,3,04/17/2018,10:09
2439 ELLIOT AVE,44.957879,-93.26090699999999,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,10:09
1425 10TH AVE S,44.968101000000004,-93.259631,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:10
2401 JAMES AVE N,45.003879,-93.302306,5,Near North,Jordan,1,Howe,3,04/17/2018,10:10
1827 RUSSELL AVE N,44.998277,-93.310771,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,10:10
4241 COLFAX AVE S,44.925545,-93.292129,13,Southwest,East Harriet,5,Howe,3,04/17/2018,10:11
3553 ALDRICH AVE S,44.937764,-93.28932900000001,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,10:11
3033 29TH AVE S,44.947045,-93.230005,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,10:11
2611 HUMBOLDT AVE S,44.954994,-93.29853100000001,7,Calhoun Isle,East Isles,3,Howe,3,04/17/2018,10:11
2403 JAMES AVE N,45.003910999999995,-93.30224399999999,5,Near North,Jordan,1,Howe,3,04/17/2018,10:11
2619 QUINCY ST NE,45.015725,-93.250866,1,Northeast,Holland,2,Howe,3,04/17/2018,10:11
3551 ALDRICH AVE S,44.937740000000005,-93.289405,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,10:12
1409 10TH AVE S,44.968367,-93.259668,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:12
1403 10TH AVE S,44.968545,-93.259623,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:12
1105 17TH AVE SE,44.991032000000004,-93.228192,1,University,Como,4,Howe,3,04/17/2018,10:12
2349 JAMES AVE N,45.003437,-93.302883,5,Near North,Jordan,1,Howe,3,04/17/2018,10:12
3031 SHERIDAN AVE N,45.01254,-93.311941,4,Near North,Jordan,1,Howe,3,04/17/2018,10:12
1819 RUSSELL AVE N,44.998261,-93.31102299999999,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,10:12
3549 ALDRICH AVE S,44.937855,-93.28939100000001,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,10:13
3221 29TH AVE S,44.944320000000005,-93.22994399999999,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,10:14
1411 10TH AVE S,44.968394,-93.259644,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:14
2337 JAMES AVE N,45.003062,-93.303416,5,Near North,Jordan,1,Howe,3,04/17/2018,10:14
2311 QUINCY ST NE,45.011390000000006,-93.250887,1,Northeast,Holland,2,Howe,3,04/17/2018,10:14
3431 ALDRICH AVE S,44.940246,-93.289542,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,10:15
2313 JAMES AVE N,45.002534000000004,-93.304079,5,Near North,Jordan,1,Howe,3,04/17/2018,10:15
3723 OAKLAND AVE S,44.935128000000006,-93.26625899999999,8,Powderhorn,Central,5,Howe,3,04/17/2018,10:16
3251 29TH AVE S,44.943397,-93.229969,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,10:16
929 19TH AVE SE,44.987454,-93.225594,2,University,Como,4,Howe,3,04/17/2018,10:16
2311 QUINCY ST NE,45.011247999999995,-93.25088199999999,1,Northeast,Holland,2,Howe,3,04/17/2018,10:16
2445 PLEASANT AVE,44.957375,-93.28321,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:17
2215 JAMES AVE N,45.001925,-93.304316,5,Near North,Jordan,1,Howe,3,04/17/2018,10:17
1307 RUSSELL AVE N,44.991784,-93.310796,5,Near North,Willard - Hay,1,Howe,3,04/17/2018,10:17
1627 33RD ST E,44.942793,-93.25085,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,10:17
4019 COLUMBUS AVE S,44.929986,-93.263973,8,Powderhorn,Bryant,5,Howe,3,04/17/2018,10:18
3309 ALDRICH AVE S,44.942619,-93.289169,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,10:18
2441 PLEASANT AVE,44.957802,-93.282911,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,10:18
2209 JAMES AVE N,45.001723,-93.304284,5,Near North,Jordan,1,Howe,3,04/17/2018,10:18
3245 ALDRICH AVE S,44.943245000000005,-93.289498,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,10:19
3253 29TH AVE S,44.943354,-93.229962,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,10:19
501 19TH ST E,44.963962,-93.268348,6,Phillips,Ventura Village,3,Howe,3,04/17/2018,10:19
1629 ELLIOT AVE,44.966497,-93.261031,6,Central,Elliot Park,3,Howe,3,04/17/2018,10:19
4035 COLFAX AVE N,45.028911,-93.291739,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,10:19
