Community,Date,Day,Emergency,Latitude,Location,Longitude,Neighborhood,Time,Tow_Zone,Ward
Near North,04/17/2018,3.0,Howe,44.985147,"1617 Thomas Pl,Minneapolis,MN",-93.301804,Near - North,13:58,1.0,5.0
Near North,04/17/2018,3.0,Howe,44.987898,"2231 oak park ave n ,Minneapolis,MN",-93.309331,Willard - Hay,14:00,1.0,5.0
University,04/17/2018,3.0,Howe,44.985658,"869 22nd ave se,Minneapolis,MN",-93.221863,Como,14:00,4.0,2.0
Calhoun Isle,04/17/2018,3.0,Howe,44.943643,"3233 COLFAX AV S,Minneapolis,MN",-93.29171,South Uptown,14:04,5.0,10.0
Powderhorn,04/17/2018,3.0,Howe,44.954370000000004,"2633 Pillsbury Ave s,Minneapolis,MN",-93.28097700000001,Whittier,14:06,3.0,10.0
Northeast,04/17/2018,3.0,Howe,45.006571,"1819 polk st ne,Minneapolis,MN",-93.245295,Windom Park,14:06,2.0,1.0
Calhoun Isle,04/17/2018,3.0,Howe,44.944353,"3211 COLFAX AV S,Minneapolis,MN",-93.29173,South Uptown,14:07,5.0,10.0
Powderhorn,04/17/2018,3.0,Howe,44.954287,"2635 Pillsbury ave ,Minneapolis,MN",-93.280997,Whittier,14:11,3.0,10.0
Powderhorn,04/17/2018,3.0,Howe,44.955146,"2605 garfeild ave s ,Minneapolis,MN",-93.28649300000001,Whittier,14:11,3.0,10.0
Powderhorn,04/17/2018,3.0,Howe,44.951342,"2817 GARFIELD AVE S,Minneapolis,MN",-93.28653100000001,Whittier,14:13,3.0,10.0
Near North,04/17/2018,3.0,Howe,44.986659,"819 Russell Ave N,Minneapolis,MN",-93.311301,Willard - Hay,14:19,1.0,5.0
University,04/17/2018,3.0,Howe,44.985228,"853 18th Ave Se,Minneapolis,MN",-93.22760600000001,Como,14:20,4.0,2.0
Near North,04/17/2018,3.0,Howe,45.005629,"2515 LOGAN AVE N,Minneapolis,MN",-93.30341700000001,Jordan,14:22,1.0,5.0
University,04/17/2018,3.0,Howe,44.98731400000001,"925 20th Ave Se,Minneapolis,MN",-93.224508,Como,14:22,4.0,2.0
Camden,04/17/2018,3.0,Howe,45.028859999999995,"4035 Colfax Ave n ,Minneapolis,MN",-93.292218,Webber - Camden,14:30,1.0,4.0
University,04/17/2018,3.0,Howe,44.985061,"847 25th ave se,Minneapolis,MN",-93.21810500000001,Como,14:38,4.0,2.0
Camden,04/17/2018,3.0,Howe,45.015948,"3331 dupont Ave n ,Minneapolis,MN",-93.29338100000001,Folwell,14:38,1.0,4.0
University,04/17/2018,3.0,Howe,44.986375,"955 17th ave se,Minneapolis,MN",-93.228977,Como,14:42,4.0,2.0
University,04/17/2018,3.0,Howe,44.96859600000001,"907 Dartmouth st se,Minneapolis,MN",-93.225266,Prospect Park - East River Road,14:42,4.0,2.0
University,04/17/2018,3.0,Howe,44.96815,"929 Dartmouth Avenue ,Minneapolis,MN",-93.22446500000001,Prospect Park - East River Road,14:44,4.0,2.0
Near North,04/17/2018,3.0,Howe,44.997459,"1713 queen ave n ,Minneapolis,MN",-93.30974499999999,Willard - Hay,14:45,1.0,5.0
University,04/17/2018,3.0,Howe,44.968651,"905 Dartmouth st se ,Minneapolis,MN",-93.225332,Prospect Park - East River Road,14:45,4.0,2.0
Longfellow,04/17/2018,3.0,Howe,44.935717,"4107 37th. St e,Minneapolis,MN",-93.21395,Howe,14:46,6.0,12.0
Calhoun Isle,04/17/2018,3.0,Howe,44.956811,"2515 colfax ave s,Minneapolis,MN",-93.291537,Lowry Hill East,14:47,3.0,10.0
Longfellow,04/17/2018,3.0,Howe,44.946828000000004,"3527 31st Street East,Minneapolis,MN",-93.221313,Longfellow,14:48,6.0,2.0
University,04/17/2018,3.0,Howe,44.966251,"1327 Yale ave se,Minneapolis,MN",-93.220217,Prospect Park - East River Road,14:49,4.0,2.0
Near North,04/17/2018,3.0,Howe,44.990674,"1235 Queen Ave N,Minneapolis,MN",-93.309844,Willard - Hay,14:50,1.0,5.0
Calhoun Isle,04/17/2018,3.0,Howe,44.940704,"3415 Dupont ave s,Minneapolis,MN",-93.292926,South Uptown,14:56,5.0,10.0
Northeast,04/17/2018,3.0,Howe,45.012276,"2403 Polk st ne,Minneapolis,MN",-93.245251,Windom Park,14:58,2.0,1.0
Longfellow,04/17/2018,3.0,Howe,44.928722,"3301 41st st,Minneapolis,MN",-93.224179,Hiawatha,15:00,6.0,12.0
Longfellow,04/17/2018,3.0,Howe,44.924391,"4325 45th ave,Minneapolis,MN",-93.208629,Hiawatha,15:02,6.0,12.0
Calhoun Isle,04/17/2018,3.0,Howe,44.962044,"2015 ALDRICH AVE S,Minneapolis,MN",-93.289036,Lowry Hill East,15:09,3.0,10.0
Calhoun Isle,04/17/2018,3.0,Howe,44.961917,"2017 ALDRICH AVE S,Minneapolis,MN",-93.289001,Lowry Hill East,15:11,3.0,10.0
Near North,04/17/2018,3.0,Howe,44.983224,"513 Humboldt av n,Minneapolis,MN",-93.298461,Harrison,15:13,3.0,5.0
Near North,04/17/2018,3.0,Howe,44.99814600000001,"1815 queen Ave n ,Minneapolis,MN",-93.30985,Willard - Hay,15:16,1.0,5.0
Near North,04/17/2018,3.0,Howe,44.997788,"1801 Queen Ave N,Minneapolis,MN",-93.30974300000001,Willard - Hay,15:23,1.0,5.0
Near North,04/17/2018,3.0,Howe,45.000239,"817 21st ave n ,Minneapolis,MN",-93.290288,Hawthorne,15:25,1.0,5.0
Near North,04/17/2018,3.0,Howe,44.997867,"1811 Oliver ave n ,Minneapolis,MN",-93.307305,Willard - Hay,15:28,1.0,5.0
University,04/17/2018,3.0,Howe,44.989711,"1601 Talmage Ave Se,Minneapolis,MN",-93.229457,Como,15:25,4.0,1.0
University,04/17/2018,3.0,Howe,44.990775,"1099 15th Ave Se,Minneapolis,MN",-93.23105,Como,15:29,4.0,1.0
University,04/17/2018,3.0,Howe,44.968126,"913 Dartmouth Avenue ,Minneapolis,MN",-93.224917,Prospect Park - East River Road,15:31,4.0,2.0
University,04/17/2018,3.0,Howe,44.96625,"1321 Yale ave se,Minneapolis,MN",-93.220292,Prospect Park - East River Road,15:34,4.0,2.0
Powderhorn,04/17/2018,3.0,Howe,44.941096,"3405 Elliott Ave s,Minneapolis,MN",-93.261015,Powderhorn Park,15:35,6.0,9.0
Southwest,04/17/2018,3.0,Howe,44.935116,"3723 HARRIET AVE S,Minneapolis,MN",-93.285381,King Field,15:40,5.0,8.0
University,04/17/2018,3.0,Howe,44.968649,"659 Ontario st se,Minneapolis,MN",-93.225311,Prospect Park - East River Road,15:46,4.0,2.0
Near North,04/17/2018,3.0,Howe,44.995048,"919 16th Ave N,Minneapolis,MN",-93.291363,Near - North,15:47,1.0,5.0
University,04/17/2018,3.0,Howe,44.968163,"921 Darthmouth Ave,Minneapolis,MN",-93.224704,Prospect Park - East River Road,15:46,4.0,2.0
University,04/17/2018,3.0,Howe,44.968664000000004,"657 Ontario st se,Minneapolis,MN",-93.225311,Prospect Park - East River Road,15:49,4.0,2.0
Calhoun Isle,04/17/2018,3.0,Howe,44.961788,"2019 ALDRICH AVE S,Minneapolis,MN",-93.289046,Lowry Hill East,15:58,3.0,10.0
Nokomis,04/17/2018,3.0,Howe,44.898881,"5745 Bossen Terr,Minneapolis,MN",-93.226294,Wenonah,15:56,6.0,11.0
Calhoun Isle,04/17/2018,3.0,Howe,44.960678,"2203 ALDRICH AVE S,Minneapolis,MN",-93.288985,Lowry Hill East,16:03,3.0,10.0
Near North,04/17/2018,3.0,Howe,45.001332,"631 22nd ave n ,Minneapolis,MN",-93.28716999999999,Hawthorne,16:04,1.0,5.0
Near North,04/17/2018,3.0,Howe,45.004796,"703 25th ave n ,Minneapolis,MN",-93.28814799999999,Hawthorne,16:06,1.0,5.0
University,04/17/2018,3.0,Howe,44.968782,"641 Ontario st se,Minneapolis,MN",-93.225311,Prospect Park - East River Road,16:10,4.0,2.0
Powderhorn,04/17/2018,3.0,Howe,44.944734000000004,"1525 32ND ST E,Minneapolis,MN",-93.252525,Powderhorn Park,16:11,6.0,9.0
Near North,04/17/2018,3.0,Howe,44.995098999999996,"1029 16th Ave N,Minneapolis,MN",-93.293633,Near - North,16:12,1.0,5.0
Powderhorn,04/17/2018,3.0,Howe,44.940658,"3423 ELLIOT AVE S,Minneapolis,MN",-93.261054,Powderhorn Park,16:21,6.0,9.0
Nokomis,04/17/2018,3.0,Howe,44.904298,"5433 31ST AVE S,Minneapolis,MN",-93.226922,Wenonah,16:27,6.0,11.0
Nokomis,04/17/2018,3.0,Howe,44.898807,"5745 SANDER DRV,Minneapolis,MN",-93.225038,Wenonah,16:33,6.0,11.0
Calhoun Isle,04/15/2018,1.0,Howe,44.959967999999996,"2300 lyndale,Minneapolis,MN",-93.28838499999999,Lowry Hill East,21:29,3.0,10.0
Near North,04/15/2018,1.0,Howe,45.003853,"2400 Lyndale Ave N,Minneapolis,MN",-93.287801,Hawthorne,21:29,1.0,5.0
Near North,04/15/2018,1.0,Howe,45.003854,"2400 2499 Lyndale Ave n ,Minneapolis,MN",-93.287716,Hawthorne,21:33,1.0,5.0
Powderhorn,04/15/2018,1.0,Howe,44.946909999999995,"3045 Chicago Ave,Minneapolis,MN",-93.262213,Powderhorn Park,21:41,6.0,9.0
Near North,04/15/2018,1.0,Howe,45.009759,"2900 LYNDALE AVE N ,Minneapolis,MN",-93.287623,Hawthorne,21:44,1.0,5.0
Near North,04/15/2018,1.0,Howe,45.004806,"2500 Lyndale Ave n ,Minneapolis,MN",-93.28799599999999,Hawthorne,21:48,1.0,5.0
Camden,04/15/2018,1.0,Howe,45.018627,"3500-3599 LYNDALE AVE N,Minneapolis,MN",-93.287745,McKinley,21:49,1.0,4.0
Near North,04/15/2018,1.0,Howe,45.002575,"2300 BLOCK LYNDALE AVE N,Minneapolis,MN",-93.287983,Hawthorne,21:56,1.0,5.0
Northeast,04/15/2018,1.0,Howe,45.023502,"3042 Johnson St NE,Minneapolis,MN",-93.23734300000001,Audubon Park,22:09,2.0,1.0
Nokomis,04/15/2018,1.0,Howe,44.922729,"4417 4th ave s,Minneapolis,MN",-93.269935,Regina,22:10,5.0,8.0
Camden,04/15/2018,1.0,Howe,45.02045,"3600 Lyndale Ave N,Minneapolis,MN",-93.287772,McKinley,22:13,1.0,4.0
Calhoun Isle,04/15/2018,1.0,Howe,44.939361,"3500l lyndale ,Minneapolis,MN",-93.288565,South Uptown,22:14,5.0,10.0
Northeast,04/15/2018,1.0,Howe,45.011506,"2331 Central Ave NE,Minneapolis,MN",-93.246925,Windom Park,22:14,2.0,1.0
Central,04/15/2018,1.0,Howe,44.967717,"100-199 15th st w,Minneapolis,MN",-93.27934300000001,Loring Park,22:15,3.0,7.0
Camden,04/15/2018,1.0,Howe,45.020451,"3600-3699 LYNDALE AVE N,Minneapolis,MN",-93.287752,McKinley,22:15,1.0,4.0
Northeast,04/15/2018,1.0,Howe,45.026617,"3225 Johnson St NE,Minneapolis,MN",-93.23685,Waite Park,22:17,2.0,1.0
University,04/15/2018,1.0,Howe,44.983287,"717 UNIVERSITY AVE SE,Minneapolis,MN",-93.245131,Marcy Holmes,22:04,4.0,3.0
University,04/15/2018,1.0,Howe,44.982834000000004,"821 university s ,Minneapolis,MN",-93.244052,Marcy Holmes,22:22,4.0,3.0
Central,04/15/2018,1.0,Howe,44.968057,"600-699 15th St e ,Minneapolis,MN",-93.267635,Elliot Park,22:23,3.0,6.0
University,04/15/2018,1.0,Howe,44.984307,"525 university ave se,Minneapolis,MN",-93.247692,Marcy Holmes,22:26,4.0,3.0
Central,04/15/2018,1.0,Howe,44.98945,"914 3rd st n,Minneapolis,MN",-93.28116,North Loop,22:26,1.0,3.0
Powderhorn,04/15/2018,1.0,Howe,44.930054,"4011 Bloomington ave ,Minneapolis,MN",-93.25203499999999,Bancroft,22:26,6.0,8.0
Camden,04/15/2018,1.0,Howe,45.022311,"3700 Lyndale Ave n ,Minneapolis,MN",-93.287788,McKinley,22:26,1.0,4.0
Camden,04/15/2018,1.0,Howe,45.020451,"3600-3699 lyndale ave n,Minneapolis,MN",-93.287752,McKinley,22:26,1.0,4.0
Powderhorn,04/15/2018,1.0,Howe,44.931311,"3932 Bloomington Avenue South,Minneapolis,MN",-93.252725,Bancroft,22:27,6.0,8.0
University,04/15/2018,1.0,Howe,44.974267,"715 univ ave se,Minneapolis,MN",-93.221699,Prospect Park - East River Road,22:28,4.0,2.0
Northeast,04/15/2018,1.0,Howe,45.00724,"1837 Central Ave NE,Minneapolis,MN",-93.247378,Logan Park,22:30,2.0,1.0
Camden,04/15/2018,1.0,Howe,45.024097999999995,"3800 lyndale ,Minneapolis,MN",-93.287796,Webber - Camden,22:30,1.0,4.0
Northeast,04/15/2018,1.0,Howe,45.006547999999995,"1813 Central Ave NE,Minneapolis,MN",-93.247004,Windom Park,22:34,2.0,1.0
Northeast,04/15/2018,1.0,Howe,45.006588,"1815 Central Ave NE,Minneapolis,MN",-93.246999,Windom Park,22:36,2.0,1.0
Central,04/15/2018,1.0,Howe,44.967721999999995,"1-99 15th St w,Minneapolis,MN",-93.277815,Loring Park,22:36,3.0,7.0
Powderhorn,04/15/2018,1.0,Howe,44.933648,"3812 4th Ave S,Minneapolis,MN",-93.270504,Bryant,22:47,5.0,8.0
Central,04/15/2018,1.0,Howe,44.984666,"623 5th st n,Minneapolis,MN",-93.28031800000001,North Loop,22:47,1.0,5.0
Northeast,04/15/2018,1.0,Howe,45.013915000000004,"2522 Central Ave NE,Minneapolis,MN",-93.247737,Holland,22:47,2.0,1.0
Central,04/15/2018,1.0,Howe,44.968059999999994,"700-799. 15th st e,Minneapolis,MN",-93.265063,Elliot Park,22:48,3.0,7.0
Camden,04/15/2018,1.0,Howe,45.027711,"4000 Lyndale Ave N,Minneapolis,MN",-93.28777600000001,Webber - Camden,22:48,1.0,4.0
Nokomis,04/15/2018,1.0,Howe,44.926372,"4217 4th ave,Minneapolis,MN",-93.269795,Regina,22:51,5.0,8.0
University,04/15/2018,1.0,Howe,44.979058,"1804 5TH ST SE,Minneapolis,MN",-93.228937,University of Minnesota,22:52,4.0,2.0
Central,04/15/2018,1.0,Howe,44.968047,"1-99 15st e,Minneapolis,MN",-93.277109,Loring Park,22:54,3.0,7.0
University,04/15/2018,1.0,Howe,44.979269,"1722 5th st se ,Minneapolis,MN",-93.229462,University of Minnesota,22:56,4.0,2.0
Camden,04/15/2018,1.0,Howe,45.029786,"4100 LYNDALE AVE N,Minneapolis,MN",-93.288113,Webber - Camden,22:57,1.0,4.0
University,04/15/2018,1.0,Howe,44.978676,"313 16TH AVE SE,Minneapolis,MN",-93.233795,University of Minnesota,22:59,4.0,2.0
Northeast,04/15/2018,1.0,Howe,45.012894,"2422 Central Ave NE,Minneapolis,MN",-93.2477,Holland,22:59,2.0,1.0
University,04/15/2018,1.0,Howe,44.979034999999996,"1810 5th st se,Minneapolis,MN",-93.22888,University of Minnesota,23:01,4.0,2.0
Camden,04/15/2018,1.0,Howe,45.022311,"3700 lyndale AVE N,Minneapolis,MN",-93.287788,McKinley,23:05,1.0,4.0
Powderhorn,04/15/2018,1.0,Howe,44.941225,"3400 bloomington ave,Minneapolis,MN",-93.252646,Powderhorn Park,23:05,6.0,9.0
University,04/15/2018,1.0,Howe,44.978729,"325 16TH AVE SE,Minneapolis,MN",-93.23375300000001,University of Minnesota,23:10,4.0,2.0
Central,04/15/2018,1.0,Howe,44.985929,"702 5TH ST N ,Minneapolis,MN",-93.280759,North Loop,23:14,1.0,5.0
Nokomis,04/15/2018,1.0,Howe,44.907976,"5228 Bloomington ave s,Minneapolis,MN",-93.252843,Hale,23:15,6.0,11.0
Powderhorn,04/15/2018,1.0,Howe,44.958876000000004,"2400 BLAISDELL AVE S,Minneapolis,MN",-93.280113,Whittier,23:18,3.0,10.0
Northeast,04/15/2018,1.0,Howe,45.000904,"674 13TH AVE NE,Minneapolis,MN",-93.254075,Logan Park,23:18,2.0,1.0
Camden,04/15/2018,1.0,Howe,45.038466,"4600 lyndale AVE N ,Minneapolis,MN",-93.28622299999999,Camden Industrial,23:18,1.0,4.0
Powderhorn,04/15/2018,1.0,Howe,44.960681,"2200 block of blaisdell,Minneapolis,MN",-93.28004,Whittier,23:19,3.0,10.0
Camden,04/15/2018,1.0,Howe,45.038466,"4600 LYNDALE AVE N,Minneapolis,MN",-93.28622299999999,Camden Industrial,23:20,1.0,4.0
Powderhorn,04/15/2018,1.0,Howe,44.958876000000004,"2400 BLAISDELL AVE S,Minneapolis,MN",-93.280113,Whittier,23:20,3.0,10.0
Northeast,04/15/2018,1.0,Howe,45.00067,"686 13TH AVE NE,Minneapolis,MN",-93.252931,Logan Park,23:21,2.0,1.0
Powderhorn,04/15/2018,1.0,Howe,44.940438,"3422 Bloomington ave s,Minneapolis,MN",-93.25275,Powderhorn Park,23:22,6.0,9.0
Powderhorn,04/15/2018,1.0,Howe,44.938403,"3537 4TH AVE S,Minneapolis,MN",-93.269856,Central,23:23,5.0,9.0
Central,04/15/2018,1.0,Howe,44.968301000000004,"500 15th St e,Minneapolis,MN",-93.268698,Elliot Park,23:23,3.0,7.0
Powderhorn,04/15/2018,1.0,Howe,44.957337,"2500 block of blaisdell,Minneapolis,MN",-93.27962600000001,Whittier,23:26,3.0,10.0
Longfellow,04/15/2018,1.0,Howe,44.919637,"4600 MINNEHAHA AVE S,Minneapolis,MN",-93.214788,Hiawatha,23:27,6.0,12.0
Longfellow,04/15/2018,1.0,Howe,44.919637,"4600 MINNEHAHA AVE S,Minneapolis,MN",-93.214788,Hiawatha,23:29,6.0,12.0
Camden,04/15/2018,1.0,Howe,45.04296400000001,"4800 LYNDALE AVE N ,Minneapolis,MN",-93.284933,Lind - Bohanon,23:29,1.0,4.0
Central,04/15/2018,1.0,Howe,44.969133,"724 14th St e ,Minneapolis,MN",-93.263809,Elliot Park,23:32,3.0,7.0
Longfellow,04/15/2018,1.0,Howe,44.963526,"921 20th ave s,Minneapolis,MN",-93.243697,Seward,23:33,4.0,6.0
Northeast,04/15/2018,1.0,Howe,45.000906,"670 13TH AVE NE,Minneapolis,MN",-93.254359,Logan Park,23:33,2.0,1.0
Central,04/15/2018,1.0,Howe,44.986302,"726 5TH ST N ,Minneapolis,MN",-93.281296,North Loop,23:34,1.0,5.0
Northeast,04/15/2018,1.0,Howe,45.006906,"1802 University Ave NE,Minneapolis,MN",-93.263636,Bottineau,23:35,2.0,3.0
Central,04/15/2018,1.0,Howe,44.969139,"608 14th st e,Minneapolis,MN",-93.26694499999999,Elliot Park,23:41,3.0,7.0
University,04/15/2018,1.0,Howe,44.988276,"1013 18TH AVE SE,Minneapolis,MN",-93.227181,Como,23:43,4.0,1.0
Near North,04/15/2018,1.0,Howe,44.978944,"700 2ND AVE N ,Minneapolis,MN",-93.288048,Harrison,23:44,3.0,5.0
Northeast,04/15/2018,1.0,Howe,44.999557,"80 13TH AVE NE,Minneapolis,MN",-93.27036,Sheridan,23:45,2.0,3.0
Powderhorn,04/15/2018,1.0,Howe,44.947154,"3036 4TH AVE S,Minneapolis,MN",-93.270658,Central,23:46,5.0,9.0
Northeast,04/15/2018,1.0,Howe,45.001177,"669 13TH AVE NE,Minneapolis,MN",-93.254501,Logan Park,23:48,2.0,1.0
University,04/15/2018,1.0,Howe,44.983684000000004,"313 MAIN ST SE,Minneapolis,MN",-93.25277700000001,Marcy Holmes,23:50,4.0,3.0
Central,04/15/2018,1.0,Howe,44.986309999999996,"728 5TH ST N ,Minneapolis,MN",-93.281308,North Loop,23:54,1.0,5.0
Near North,04/15/2018,1.0,Howe,44.978944,"700 2ND AVE N ,Minneapolis,MN",-93.288048,Harrison,23:56,3.0,5.0
University,04/16/2018,1.0,Howe,44.982648,"404 main st se,Minneapolis,MN",-93.251866,Marcy Holmes,00:01,4.0,3.0
Northeast,04/16/2018,1.0,Howe,45.000906,"670 13TH AVE NE,Minneapolis,MN",-93.254359,Logan Park,00:02,2.0,1.0
University,04/16/2018,1.0,Howe,44.982587,"410 main st se,Minneapolis,MN",-93.25172099999999,Marcy Holmes,00:03,4.0,3.0
Powderhorn,04/16/2018,1.0,Howe,44.957337,"2500 block of blaisdell ave,Minneapolis,MN",-93.27962600000001,Whittier,00:05,3.0,10.0
Powderhorn,04/16/2018,1.0,Howe,44.95552100000001,"2600 blaisdell,Minneapolis,MN",-93.279634,Whittier,00:07,3.0,10.0
Near North,04/16/2018,1.0,Howe,44.978944,"700 2nd Ave n,Minneapolis,MN",-93.288048,Harrison,00:08,3.0,5.0
Powderhorn,04/16/2018,1.0,Howe,44.953632,"2700 block of blaisdell,Minneapolis,MN",-93.280047,Whittier,00:09,3.0,10.0
Nokomis,04/16/2018,1.0,Howe,44.918662,"4628 bloomington AVE S,I,MN",-93.252725,Northrop,00:09,6.0,11.0
Calhoun Isle,04/16/2018,1.0,Howe,44.95535200000001,"2600 hennepin av s,Minneapolis,MN",-93.297202,East Isles,00:10,3.0,7.0
Longfellow,04/16/2018,1.0,Howe,44.963761,"2103 9th st se,Minneapolis,MN",-93.242407,Seward,00:12,4.0,6.0
Central,04/16/2018,1.0,Howe,44.98787100000001,"417 10th Ave n,Minneapolis,MN",-93.28331999999999,North Loop,00:12,1.0,5.0
Camden,04/16/2018,1.0,Howe,45.024097999999995,"3800 lyndale ave n,Minneapolis,MN",-93.287796,Webber - Camden,00:12,1.0,4.0
University,04/16/2018,1.0,Howe,44.987558,"991 15TH AVE SE,Minneapolis,MN",-93.230379,Como,00:03,4.0,2.0
Longfellow,04/16/2018,1.0,Howe,44.964017999999996,"2108 9th st se,Minneapolis,MN",-93.242363,Seward,00:14,4.0,6.0
University,04/16/2018,1.0,Howe,44.979267,"1724 5TH ST SE,Minneapolis,MN",-93.229457,University of Minnesota,00:02,4.0,2.0
Central,04/16/2018,1.0,Howe,44.984681,"456 6t Ave N,Minneapolis,MN",-93.278983,North Loop,00:17,1.0,5.0
Northeast,04/16/2018,1.0,Howe,44.999418,"66 13TH AVE NE,Minneapolis,MN",-93.27076,Sheridan,00:17,2.0,3.0
Powderhorn,04/16/2018,1.0,Howe,44.95074,"2900 block of blaisdell ave,Minneapolis,MN",-93.279668,Whittier,00:21,3.0,10.0
Northeast,04/16/2018,1.0,Howe,44.999497,"74 13th Ave NE,Minneapolis,MN",-93.27053199999999,Sheridan,00:23,2.0,3.0
Powderhorn,04/16/2018,1.0,Howe,44.934264,"1572 38TH ST E,Minneapolis,MN",-93.251325,Powderhorn Park,00:23,6.0,9.0
Northeast,04/16/2018,1.0,Howe,44.999946,"1205 2ND ST NE,Minneapolis,MN",-93.265895,Sheridan,00:25,2.0,3.0
Southwest,04/16/2018,1.0,Howe,44.931228999999995,"3929 SHERIDAN AVE S,Minneapolis,MN",-93.312747,Linden Hills,00:27,5.0,13.0
Southwest,04/16/2018,1.0,Howe,44.92407,"2701 W 43RD ST ,Minneapolis,MN",-93.31265,Linden Hills,00:32,5.0,13.0
Powderhorn,04/16/2018,1.0,Howe,44.939533000000004,"23RD AVE & E 35TH ST ,Minneapolis,MN",-93.238901,Corcoran,00:32,6.0,9.0
Central,04/16/2018,1.0,Howe,44.98458,"253 3RD AVE N ,Minneapolis,MN",-93.27233199999999,North Loop,00:32,3.0,3.0
Near North,04/16/2018,1.0,Howe,44.978944,"700 2ND AVE N ,Minneapolis,MN",-93.288048,Harrison,00:33,3.0,5.0
Northeast,04/16/2018,1.0,Howe,44.999537,"78 13th Ave NE,Minneapolis,MN",-93.27041700000001,Sheridan,00:34,2.0,3.0
Southwest,04/16/2018,1.0,Howe,44.924107,"4311 upton ave s ,Minneapolis,MN",-93.31451899999999,Linden Hills,00:35,5.0,13.0
Near North,04/16/2018,1.0,Howe,45.000254999999996,"2099 EMERSON AVE N,Minneapolis,MN",-93.294107,Hawthorne,00:36,1.0,5.0
Longfellow,04/16/2018,1.0,Howe,44.930375,"4000 MINNEHAHA AVE S,Minneapolis,MN",-93.221532,Hiawatha,00:36,6.0,12.0
Northeast,04/16/2018,1.0,Howe,45.001177,"669 13TH AVE NE,Minneapolis,MN",-93.254501,Logan Park,00:37,2.0,1.0
Longfellow,04/16/2018,1.0,Howe,44.930611999999996,"3975 MINNEHAHA AVE S,Minneapolis,MN",-93.221328,Howe,00:38,6.0,12.0
Longfellow,04/16/2018,1.0,Howe,44.963985,"2505 9TH ST S,Minneapolis,MN",-93.236161,Seward,00:15,4.0,6.0
Camden,04/16/2018,1.0,Howe,45.024097999999995,"3800 LYNDALE AVE N ,Minneapolis,MN",-93.287796,Webber - Camden,00:43,1.0,4.0
Longfellow,04/16/2018,1.0,Howe,44.930611999999996,"3975 minnehaha AVE S,Minneapolis,MN",-93.221328,Howe,00:43,6.0,12.0
Central,04/16/2018,1.0,Howe,44.962707,"1500 BLAISDELL AVE S,Minneapolis,MN",-93.27942900000001,Steven's Square - Loring Heights,00:45,3.0,7.0
University,04/16/2018,1.0,Howe,44.981551,"1314 5th st se,Minneapolis,MN",-93.235839,Marcy Holmes,00:46,4.0,3.0
Central,04/16/2018,1.0,Howe,44.962707,"1500 block of blaisdell,Minneapolis,MN",-93.27942900000001,Steven's Square - Loring Heights,00:47,3.0,7.0
Central,04/16/2018,1.0,Howe,44.987268,"204 6TH AVE N ,Minneapolis,MN",-93.275366,North Loop,00:48,1.0,3.0
Longfellow,04/16/2018,1.0,Howe,44.923109000000004,"4401 minnehaha ave s,Minneapolis,MN",-93.21598900000001,Hiawatha,00:53,6.0,12.0
Longfellow,04/16/2018,1.0,Howe,44.930375,"4000 MINNEHAHA AVE S,Minneapolis,MN",-93.221532,Hiawatha,00:54,6.0,12.0
Calhoun Isle,04/16/2018,1.0,Howe,44.94278900000001,"3300 block of Hennepin,Minneapolis,MN",-93.29858,ECCO,00:57,5.0,10.0
Longfellow,04/16/2018,1.0,Howe,44.916321999999994,"3975 minnehaha a s,Minneapolis,MN",-93.214867,Hiawatha,00:58,6.0,12.0
Longfellow,04/16/2018,1.0,Howe,44.963689,"2213 9th st s,Minneapolis,MN",-93.240014,Seward,00:58,4.0,6.0
Camden,04/16/2018,1.0,Howe,45.027711,"4000 Lyndale Ave n ,Minneapolis,MN",-93.28777600000001,Webber - Camden,00:59,1.0,4.0
University,04/16/2018,1.0,Howe,44.964428999999996,"2210 9TH ST S,Minneapolis,MN",-93.239825,Cedar Riverside,01:02,4.0,2.0
Near North,04/16/2018,1.0,Howe,45.001657,"2200 EMERSON AVE N ,Minneapolis,MN",-93.293811,Hawthorne,01:03,1.0,5.0
Calhoun Isle,04/16/2018,1.0,Howe,44.946444,"3100 HENNEPIN AVE ,Minneapolis,MN",-93.29798199999999,South Uptown,01:04,5.0,10.0
Central,04/16/2018,1.0,Howe,44.984931,"408 6TH AVE N ,Minneapolis,MN",-93.27861700000001,North Loop,01:06,1.0,5.0
Calhoun Isle,04/16/2018,1.0,Howe,44.957190999999995,"2500 hennepin ave s,Minneapolis,MN",-93.295956,East Isles,01:07,3.0,7.0
Longfellow,04/16/2018,1.0,Howe,44.935761,"3700 minnehaha ave,Minneapolis,MN",-93.225548,Howe,01:10,6.0,12.0
Powderhorn,04/16/2018,1.0,Howe,44.961773,"2100 block of nicollet,Minneapolis,MN",-93.278329,Whittier,01:10,3.0,10.0
Central,04/16/2018,1.0,Howe,44.988409000000004,"804 3rd st n,Minneapolis,MN",-93.279744,North Loop,01:12,1.0,3.0
Northeast,04/16/2018,1.0,Howe,45.001207,"695 13th Ave NE,Minneapolis,MN",-93.253023,Logan Park,01:13,2.0,1.0
Powderhorn,04/16/2018,1.0,Howe,44.961773,"2100 block of nicollet,Minneapolis,MN",-93.278329,Whittier,01:13,3.0,10.0
