Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Date,Time,Emergency
2608 GIRARD AVE S,44.954392999999996,-93.29690500000001,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2612 GIRARD AVE S,44.954228,-93.296991,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2716 GIRARD AVE S,44.953075,-93.296873,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2722 GIRARD AVE S,44.952923999999996,-93.296856,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2752 GIRARD AVE S,44.952405,-93.296912,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2756 GIRARD AVE S,44.952221,-93.297003,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2802 GIRARD AVE S,44.951803999999996,-93.29696,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2804 GIRARD AVE S,44.951802,-93.296954,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2808 GIRARD AVE S,44.951741,-93.29695799999999,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2810 GIRARD AVE S,44.951464,-93.297034,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2812 GIRARD AVE S,44.951464,-93.297034,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2814 GIRARD AVE S,44.951459,-93.297069,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2834 GIRARD AVE S,44.950697999999996,-93.296786,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2836 GIRARD AVE S,44.950702,-93.296872,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2828 GIRARD AVE S,44.951025,-93.29695799999999,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
2822 GIRARD AVE S,44.95118,-93.297111,10,Calhoun Isle,Lowry Hill East,3,2,01/29/2019,00:00,Quincy
1812 29TH ST E,44.949946000000004,-93.248299,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1822 29TH ST E,44.950076,-93.247794,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1820 29TH ST E,44.950152,-93.248003,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1836 27TH ST E,44.953727,-93.24704799999999,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1808 27TH ST E,44.953765999999995,-93.248838,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1546 27TH ST E,44.953684,-93.251305,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1216 27TH ST E,44.953835999999995,-93.255809,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
724 27TH ST E,44.953544,-93.26504,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
716 27TH ST E,44.953825,-93.264552,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
704 27TH ST E,44.953736,-93.265054,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
644 27TH ST E,44.953699,-93.265636,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
642 27TH ST E,44.953679,-93.26570500000001,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
506 25TH ST E,44.957634000000006,-93.268137,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
524 25TH ST E,44.957401000000004,-93.267999,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
528 25TH ST E,44.957306,-93.267804,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
610 25TH ST E,44.957181,-93.267025,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
620 25TH ST E,44.957752,-93.265336,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
710 25TH ST E,44.957365,-93.26386,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
708 25TH ST E,44.957390000000004,-93.264432,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
714 25TH ST E,44.957415999999995,-93.264174,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
716 25TH ST E,44.957438,-93.264473,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
720 25TH ST E,44.957358,-93.264107,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
722 25TH ST E,44.957367,-93.264092,6,Phillips,Phillips West,3,2,01/29/2019,00:00,Quincy
908 25TH ST E,44.957367,-93.260317,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1006 25TH ST E,44.957304,-93.25954300000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1102 25TH ST E,44.95726,-93.259284,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1104 25TH ST E,44.957327,-93.258926,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1108 25TH ST E,44.957347999999996,-93.258822,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1110 25TH ST E,44.957278,-93.258889,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1114 25TH ST E,44.957301,-93.258728,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1120 25TH ST E,44.957353000000005,-93.257636,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1122 25TH ST E,44.957337,-93.257758,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1126 25TH ST E,44.957337,-93.257758,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1128 25TH ST E,44.957442,-93.25759599999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1414 25TH ST E,44.957446999999995,-93.254047,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1424 25TH ST E,44.957322,-93.253899,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1426 25TH ST E,44.957352,-93.254605,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1508 25TH ST E,44.957504,-93.253419,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
1526 25TH ST E,44.957351,-93.251649,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1528 25TH ST E,44.957414,-93.252332,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1620 25TH ST E,44.957412,-93.25050300000001,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1502 23RD ST E,44.960091,-93.25305300000001,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1528 23RD ST E,44.960097,-93.252596,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1526 23RD ST E,44.960153999999996,-93.252894,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1704 22ND ST E,44.960682,-93.249622,9,Phillips,East Phillips,3,2,01/29/2019,00:00,Quincy
1710 22ND ST E,44.960993,-93.249426,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1628 22ND ST E,44.961141999999995,-93.250299,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1622 22ND ST E,44.961073,-93.249752,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1608 22ND ST E,44.961039,-93.250524,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1610 22ND ST E,44.961000000000006,-93.25046,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1606 22ND ST E,44.961034999999995,-93.250814,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
812 22ND ST E,44.960988,-93.262375,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1504 21ST ST E,44.961727,-93.252639,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1418 21ST ST E,44.961742,-93.25420799999999,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1408 21ST ST E,44.961927,-93.25478199999999,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1106 21ST ST E,44.96188,-93.257857,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1018 21ST ST E,44.961833,-93.258852,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1016 21ST ST E,44.961867,-93.258931,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
928 21ST ST E,44.961523,-93.259916,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
920 21ST ST E,44.961678000000006,-93.260324,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
918 21ST ST E,44.961543,-93.260189,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
912 21ST ST E,44.961507,-93.260685,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
826 21ST ST E,44.961681,-93.261267,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
818 21ST ST E,44.961727,-93.261544,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
816 21ST ST E,44.961996,-93.261564,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
812 21ST ST E,44.961859000000004,-93.26170400000001,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
804 21ST ST E,44.961765,-93.262089,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2944 EWING AVE S,44.948947,-93.327501,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2940 EWING AVE S,44.949063,-93.32748199999999,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2934 EWING AVE S,44.94931,-93.326852,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2932 EWING AVE S,44.94927,-93.32688900000001,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2924 DREW AVE S,44.949077,-93.32624399999999,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2926 DREW AVE S,44.948857000000004,-93.326402,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2930 DREW AVE S,44.948599,-93.326415,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2932 DREW AVE S,44.948584999999994,-93.32641,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2934 DREW AVE S,44.948586999999996,-93.326348,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2842 CHOWEN AVE S,44.950331,-93.325108,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2724 CHOWEN AVE S,44.952139,-93.324928,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2720 CHOWEN AVE S,44.952556,-93.324929,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2708 CHOWEN AVE S,44.953344,-93.325062,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2704 CHOWEN AVE S,44.953378,-93.325114,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2424 RUSSELL AVE S,44.958338,-93.31174,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
2406 RUSSELL AVE S,44.959001,-93.31179399999999,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
2050 SHERIDAN AVE S,44.961502,-93.31290200000001,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
2036 SHERIDAN AVE S,44.962182,-93.312833,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
1974 SHERIDAN AVE S,44.963867,-93.31198499999999,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
1972 SHERIDAN AVE S,44.963946,-93.311989,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
1916 QUEEN AVE S,44.963015000000006,-93.309845,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
2114 OLIVER AVE S,44.961393,-93.30718,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
2104 OLIVER AVE S,44.961479,-93.307138,7,Calhoun Isle,Kenwood,3,2,01/29/2019,00:00,Quincy
212 OLIVER AVE N,44.974882,-93.307038,7,Calhoun Isle,Bryn - Mawr,3,2,01/29/2019,00:00,Quincy
204 THOMAS AVE N,44.974951000000004,-93.313309,7,Calhoun Isle,Bryn - Mawr,3,2,01/29/2019,00:00,Quincy
206 THOMAS AVE N,44.974979,-93.313271,7,Calhoun Isle,Bryn - Mawr,3,2,01/29/2019,00:00,Quincy
326 RUSSELL AVE N,44.980984,-93.310991,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
324 RUSSELL AVE N,44.981137,-93.310959,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
310 RUSSELL AVE N,44.981002000000004,-93.310785,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
302 RUSSELL AVE N,44.980815,-93.31097199999999,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
272 QUEEN AVE N,44.979636,-93.309577,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
308 QUEEN AVE N,44.981132,-93.309662,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
402 QUEEN AVE N,44.981732,-93.309692,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
404 QUEEN AVE N,44.981753999999995,-93.30965400000001,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
406 QUEEN AVE N,44.982021,-93.30980500000001,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
420 QUEEN AVE N,44.982264,-93.309732,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
426 QUEEN AVE N,44.982579,-93.309439,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
346 NEWTON AVE N,44.981556,-93.30565,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
426 LOGAN AVE N,44.982456,-93.30325500000001,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
526 LOGAN AVE N,44.983537,-93.303314,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
538 KNOX AVE N,44.983714,-93.30197199999999,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
418 KNOX AVE N,44.982362,-93.30208499999999,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
302 KNOX AVE N,44.981246999999996,-93.301992,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
332 GRAMERCY AVE,44.980863,-93.301612,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
320 GRAMERCY AVE,44.980432,-93.301248,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
304 GRAMERCY AVE,44.979986,-93.301727,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
264 IRVING AVE N,44.979956,-93.299426,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
260 IRVING AVE N,44.979912,-93.299453,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
256 IRVING AVE N,44.979869,-93.299485,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
248 IRVING AVE N,44.979781,-93.299482,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
248 IRVING AVE N,44.97952,-93.299361,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
244 IRVING AVE N,44.979572999999995,-93.299518,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
238 IRVING AVE N,44.97935,-93.29944300000001,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
236 IRVING AVE N,44.979238,-93.29944,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
2006 LAUREL AVE,44.973894,-93.305018,7,Calhoun Isle,Bryn - Mawr,3,2,01/29/2019,00:00,Quincy
2120 3RD AVE N,44.979653000000006,-93.307857,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
2118 3RD AVE N,44.979729,-93.307735,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
2108 3RD AVE N,44.979876000000004,-93.30773,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
1926 3RD AVE N,44.979732,-93.305925,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
1920 3RD AVE N,44.979863,-93.305064,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
1908 3RD AVE N,44.97979,-93.30482099999999,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
1714 3RD AVE N,44.979869,-93.302356,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
1708 2ND AVE N,44.979026,-93.30293499999999,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
1710 2ND AVE N,44.979077000000004,-93.302776,5,Near North,Harrison,3,2,01/29/2019,00:00,Quincy
2302 16TH AVE S,44.959854,-93.251164,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2204 16TH AVE S,44.960544,-93.25117,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2206 16TH AVE S,44.960498,-93.25116899999999,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2208 16TH AVE S,44.960465,-93.251148,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2210 16TH AVE S,44.960372,-93.25115699999999,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2014 16TH AVE S,44.962039000000004,-93.25113499999999,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2012 16TH AVE S,44.96212,-93.251141,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2010 16TH AVE S,44.962183,-93.25113,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2008 16TH AVE S,44.962255,-93.251134,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2206 15TH AVE S,44.960705,-93.253568,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2202 15TH AVE S,44.960806,-93.25358,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2202 15TH AVE S,44.960858,-93.25358100000001,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2122 15TH AVE S,44.96117,-93.253496,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2406 15TH AVE S,44.958708,-93.253632,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2426 15TH AVE S,44.958217,-93.25369599999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2432 15TH AVE S,44.95803,-93.253718,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2434 15TH AVE S,44.95793,-93.25372800000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2442 15TH AVE S,44.957755999999996,-93.25371899999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2444 15TH AVE S,44.957721,-93.253714,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2502 15TH AVE S,44.957182,-93.25372,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2504 15TH AVE S,44.957026,-93.253685,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2518 15TH AVE S,44.95673,-93.25366700000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2528 15TH AVE S,44.956041,-93.25367800000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2604 15TH AVE S,44.955337,-93.253644,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2726 15TH AVE S,44.952579,-93.25375,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2820 15TH AVE S,44.951245,-93.25376800000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2822 15TH AVE S,44.951152,-93.253782,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2824 15TH AVE S,44.951041,-93.253789,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2826 15TH AVE S,44.950992,-93.253793,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2932 14TH AVE S,44.948882,-93.25511,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2904 14TH AVE S,44.949933,-93.255077,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
902 45TH ST W,44.92139,-93.290746,13,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
904 45TH ST W,44.921354,-93.290775,13,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
402 45TH ST W,44.921321999999996,-93.284407,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
214 44TH ST W,44.923271,-93.282702,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
716 44TH ST W,44.923274,-93.289179,13,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
2902 14TH AVE S,44.949994000000004,-93.25509,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2736 14TH AVE S,44.952378,-93.25509100000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2730 14TH AVE S,44.952566,-93.255071,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2724 14TH AVE S,44.952652,-93.255026,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2508 14TH AVE S,44.956953999999996,-93.25500699999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2402 13TH AVE S,44.958403999999994,-93.254998,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2402 13TH AVE S,44.958808000000005,-93.25623,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2404 13TH AVE S,44.958785999999996,-93.25623399999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2406 13TH AVE S,44.95879,-93.256232,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2424 13TH AVE S,44.958247,-93.256244,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2426 13TH AVE S,44.958224,-93.256249,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2434 13TH AVE S,44.957927000000005,-93.256274,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2436 13TH AVE S,44.957793,-93.256286,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2438 13TH AVE S,44.957758,-93.25627800000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2440 13TH AVE S,44.957665999999996,-93.25625,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2442 13TH AVE S,44.957692,-93.256226,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2732 13TH AVE S,44.952532,-93.256316,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2738 13TH AVE S,44.952382,-93.256344,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2744 13TH AVE S,44.95225,-93.256232,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2932 12TH AVE S,44.948954,-93.25765799999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2938 12TH AVE S,44.948855,-93.25767900000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2910 12TH AVE S,44.949704,-93.257632,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2746 12TH AVE S,44.952292,-93.257602,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2742 12TH AVE S,44.952363,-93.257632,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2542 12TH AVE S,44.955928,-93.257547,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2536 12TH AVE S,44.956022,-93.257545,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2106 24TH AVE S,44.961656,-93.237773,6,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
2108 24TH AVE S,44.961656,-93.237773,6,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
2112 24TH AVE S,44.960848,-93.237718,6,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
2300 24TH AVE S,44.96009,-93.237811,6,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
2302 24TH AVE S,44.960011,-93.237782,6,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
2304 24TH AVE S,44.95993,-93.23779300000001,6,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
708 27TH AVE S,44.966111,-93.233192,2,University,Cedar Riverside,4,2,01/29/2019,00:00,Quincy
940 FRANKLIN TER,44.963207000000004,-93.22675699999999,2,Longfellow,Seward,4,2,01/29/2019,00:00,Quincy
904 19TH ST E,44.963924,-93.259934,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1006 19TH ST E,44.96398,-93.25925500000001,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1008 19TH ST E,44.964007,-93.25914300000001,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1010 19TH ST E,44.96397,-93.258862,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
1024 19TH ST E,44.963831,-93.25879499999999,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2534 12TH AVE S,44.956129,-93.25755500000001,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2530 12TH AVE S,44.956179999999996,-93.257559,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2528 12TH AVE S,44.956368,-93.257582,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2522 12TH AVE S,44.95662,-93.257562,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2512 12TH AVE S,44.956753000000006,-93.257576,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2122 12TH AVE S,44.961055,-93.257482,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2114 12TH AVE S,44.9614,-93.257423,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2112 12TH AVE S,44.961463,-93.257439,6,Phillips,Ventura Village,3,2,01/29/2019,00:00,Quincy
2810 11TH AVE S,44.951457,-93.258872,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2812 11TH AVE S,44.951408,-93.258892,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2932 11TH AVE S,44.949214000000005,-93.258932,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2936 11TH AVE S,44.949016,-93.25888,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2938 11TH AVE S,44.948972,-93.25889699999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2940 11TH AVE S,44.948962,-93.258884,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2944 11TH AVE S,44.948725,-93.258935,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2946 11TH AVE S,44.948727000000005,-93.25891899999999,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
2608 10TH AVE S,44.955137,-93.260144,9,Phillips,Midtown Phillips,3,2,01/29/2019,00:00,Quincy
